yb_percent,transmission_absorbance_correlation,absorbance_offset,residual_rmse,feature_1_nm,feature_1_ev,feature_2_nm,feature_2_ev,feature_3_nm,feature_3_ev
5,0.9988471573502118,0.08506418297845819,0.10656851399670222,831.0,1.4919879470517448,868.0,1.4283893824884792,906.0,1.3684790110375276
10,0.998909739872411,-0.026566631601709023,0.0715129820202644,822.0,1.5083235815085156,859.0,1.4433550454016297,894.0,1.386847856823266
15,0.9993392147709576,-0.03921646720594918,0.04142611193946361,819.0,1.5138485763125762,856.0,1.4484135327102803,891.0,1.3915173782267114
