Wavelength (nm),A3 Abs,B1 Abs,A3 Transmittance,A3 Transmittance (%),B1 Transmittance,B1 Transmittance (%)
800.0400391,0.07109305263,0.1474009156,0.8489985477608566,84.89985477608566,0.7121952690023196,71.21952690023195
801.151001,0.07165116817,0.1471044272,0.847908193253473,84.7908193253473,0.7126816434293035,71.26816434293035
802.2620239,0.07220400125,0.1469616592,0.8468295392606348,84.68295392606348,0.7129159656761944,71.29159656761944
803.3730469,0.07265343517,0.1466691047,0.8459536426686107,84.59536426686107,0.7133963702103038,71.33963702103038
804.4840088,0.07301399112,0.1465314925,0.8452516143117462,84.52516143117462,0.7136224555125456,71.36224555125456
805.5950317,0.0735026747,0.146327436,0.844301042075615,84.4301042075615,0.71395783512748,71.395783512748
806.7059937,0.07359097898,0.1456854343,0.8441293893845503,84.41293893845503,0.7150140334445657,71.50140334445658
807.8170166,0.07390014082,0.1456326842,0.8435286916122791,84.3528691612279,0.7151008854632243,71.51008854632242
808.9280396,0.07413874567,0.1455197185,0.8430653775114554,84.30653775114554,0.7152869167912461,71.5286916791246
810.0390015,0.07432629913,0.1454299092,0.8427013717563296,84.27013717563297,0.715434848811062,71.5434848811062
811.1500244,0.07438899577,0.1453699172,0.8425797245026685,84.25797245026685,0.7155336834355244,71.55336834355244
812.2610474,0.07453590631,0.1453363895,0.8422947498750634,84.22947498750634,0.7155889250416877,71.55889250416877
813.3720093,0.0747262463,0.1451802552,0.8419256748499058,84.19256748499058,0.7158462344636704,71.58462344636703
814.4830322,0.07497046888,0.1451426148,0.8414523567071717,84.14523567071717,0.7159082797058125,71.59082797058124
815.5939941,0.0747891888,0.1450536698,0.8418036630145278,84.18036630145278,0.7160549151930595,71.60549151930596
816.7050171,0.07488055527,0.1449552476,0.8416265837687837,84.16265837687837,0.7162172098788302,71.62172098788302
817.81604,0.07495194674,0.1452113092,0.8414882444086275,84.14882444086274,0.7157950500826986,71.57950500826986
818.927002,0.07490132004,0.1450904012,0.8415863443336046,84.15863443336046,0.715994355852848,71.5994355852848
820.0380249,0.0750143677,0.1451296955,0.8413673063548226,84.13673063548227,0.7159295767100203,71.59295767100204
821.1490479,0.07506412268,0.1450904757,0.8412709205673848,84.12709205673849,0.7159942330293326,71.59942330293326
822.2600098,0.07497569919,0.1451794505,0.8414422229606983,84.14422229606983,0.7158475608493892,71.58475608493892
823.3710327,0.07498492301,0.1452759504,0.8414243520700718,84.14243520700718,0.7156885177419835,71.56885177419835
824.4819946,0.07497938722,0.1453852206,0.84143507746124,84.143507746124,0.7155084703469331,71.5508470346933
825.5930176,0.07491229475,0.1453635991,0.8415650775440068,84.15650775440068,0.7155440930687069,71.5544093068707
826.7040405,0.07486984879,0.1454190165,0.8416473322922705,84.16473322922705,0.7154527931212776,71.54527931212776
827.8150024,0.07482866943,0.145333603,0.8417271402178312,84.17271402178312,0.715593516384704,71.5593516384704
828.9260254,0.07482703775,0.1454107016,0.8417303026616969,84.17303026616969,0.7154664911433021,71.54664911433021
830.0370483,0.07472845912,0.1455542147,0.8419213850757935,84.19213850757934,0.715230103496045,71.5230103496045
831.1480103,0.07472941279,0.1457012147,0.8419195362973282,84.19195362973282,0.7149880533712876,71.49880533712876
832.2590332,0.0746377334,0.1457264125,0.8420972839325024,84.20972839325024,0.7149465709116121,71.4946570911612
833.3699951,0.07458747923,0.1457721144,0.8421947324389341,84.2194732438934,0.7148713392452994,71.48713392452994
834.4810181,0.0745972544,0.1458691955,0.8421757763978694,84.21757763978694,0.7147115565572032,71.47115565572032
835.592041,0.07451909781,0.1458356231,0.8423273498409154,84.23273498409154,0.714766808260173,71.4766808260173
836.7030029,0.07446113974,0.14587304,0.8424397687807347,84.24397687807347,0.7147052297523923,71.47052297523922
837.8140259,0.07442912459,0.1459243,0.8425018737137341,84.25018737137341,0.7146208777064462,71.46208777064462
838.9250488,0.07444921881,0.1461173296,0.8424628931900074,84.24628931900074,0.7143033228285784,71.43033228285785
840.0360107,0.07442396134,0.1461942047,0.8425118901284925,84.25118901284925,0.7141768941450273,71.41768941450273
841.1470337,0.07434156537,0.1462105215,0.8426717497928549,84.26717497928549,0.714150062437219,71.4150062437219
842.2579956,0.07427119464,0.1462399811,0.8428083028304669,84.2808302830467,0.7141016209706224,71.41016209706224
843.3690186,0.07429822534,0.1463907361,0.8427558476637924,84.27558476637924,0.713853780595748,71.3853780595748
844.4800415,0.07423666865,0.1464012116,0.8428753079363144,84.28753079363143,0.7138365621290075,71.38365621290075
845.5910034,0.07425184548,0.1464031786,0.8428458533789159,84.2845853378916,0.7138333290385667,71.38333290385667
846.7020264,0.07418268174,0.1464887261,0.8429800918184668,84.29800918184668,0.7136927317130468,71.36927317130468
847.8129883,0.07418904454,0.1465656012,0.8429677415016649,84.29677415016648,0.7135664111015547,71.35664111015546
848.9240112,0.074303478,0.1467293054,0.8427456548491344,84.27456548491344,0.713297488031974,71.3297488031974
850.0350342,0.0742822513,0.1467415392,0.8427868461308825,84.27868461308825,0.7132773951773186,71.32773951773186
851.1459961,0.07433295995,0.1467232853,0.8426884472561554,84.26884472561554,0.7133073756822871,71.33073756822871
852.257019,0.07423412055,0.1467404515,0.8428802532832212,84.28802532832212,0.7132791815983454,71.32791815983454
853.368042,0.07428765297,0.1467201561,0.8427763637777749,84.27763637777748,0.713312515258253,71.3312515258253
854.4790039,0.07437857985,0.1467932165,0.8425999327913143,84.25999327913144,0.7131925263647257,71.31925263647257
855.5900269,0.07434900105,0.1467930377,0.8426573222923954,84.26573222923955,0.7131928199877288,71.31928199877288
856.7009888,0.07447567582,0.1469366103,0.8424115723208433,84.24115723208433,0.7129570858756897,71.29570858756897
857.8120117,0.0745010525,0.1468927562,0.842362349995361,84.2362349995361,0.7130290823464861,71.30290823464861
858.9230347,0.07450010628,0.1468328536,0.8423641852960713,84.23641852960712,0.7131274378253024,71.31274378253025
860.0339966,0.0745106712,0.1468270868,0.8423436936657313,84.23436936657312,0.7131369071848814,71.31369071848815
861.1450195,0.07460272312,0.1468420029,0.8421651716245958,84.21651716245958,0.7131124144980163,71.31124144980163
862.2560425,0.07463051379,0.1467368603,0.8421112828773629,84.21112828773629,0.7132850797593729,71.3285079759373
863.3670044,0.07474552095,0.1468670219,0.8418883097364113,84.18883097364113,0.713071334432886,71.30713344328859
864.4780273,0.07478355616,0.1468344927,0.8418145809698103,84.18145809698103,0.7131247463681777,71.31247463681777
865.5889893,0.07486659288,0.1468022615,0.8416536421542468,84.16536421542467,0.7131776729426931,71.3177672942693
866.7000122,0.07487772405,0.14680098,0.841632070455543,84.1632070455543,0.7131797773639427,71.31797773639427
867.8110352,0.07499510795,0.1468724608,0.8414046194775351,84.14046194775351,0.7130624043185111,71.30624043185111
868.9219971,0.07512163371,0.1468961686,0.8411595234490364,84.11595234490365,0.7130234798555888,71.30234798555888
870.03302,0.07524702698,0.1467737257,0.8409166916329277,84.09166916329276,0.7132245346112104,71.32245346112104
871.144043,0.07541719824,0.1468586624,0.8405872565907772,84.05872565907771,0.713085060090103,71.3085060090103
872.2550049,0.0755244419,0.1469064057,0.8403797095732737,84.03797095732737,0.7130066728111943,71.30066728111943
873.3660278,0.07575474679,0.1469052434,0.8399341772076587,83.99341772076588,0.7130085810296942,71.30085810296943
874.4769897,0.0758779496,0.1470068693,0.8396959343140288,83.96959343140288,0.7128417549139682,71.28417549139682
875.5880127,0.07608245313,0.1470431089,0.83930062567975,83.930062567975,0.7127822744845607,71.27822744845606
876.6990356,0.07636542618,0.14725402,0.8387539410892104,83.87539410892104,0.712436202402922,71.2436202402922
877.8099976,0.0765947029,0.147306934,0.8383112552912737,83.83112552912738,0.7123494051850341,71.23494051850341
878.9210205,0.07684665173,0.1473532617,0.8378250637895784,83.78250637895785,0.7122734204539738,71.22734204539738
