sample,side,plateau_reflectance_percent_1000_1150,lower_50_percent_edge_nm,normalized_reflectance_800_850,normalized_reflectance_900_930,normalized_reflectance_1020_1060,normalized_reflectance_1100_1200,transmission_percent_1030,transmission_percent_1064,transmission_percent_1100_1200,best_candidate_material_pair,best_candidate_center_nm,best_candidate_upper_edge_nm
5% Yb,A,105.07221,894.5281457988826,0.2206976516435697,0.6767226081948786,1.0066970134158213,0.9864042071638163,0.167593956,0.1458393037,0.466824472,TiO2/SiO2,1043.8788911808172,1202.7831638781463
5% Yb,B,102.97749,895.2528586289569,0.23198448515301742,0.6774989369035893,1.0005493433564947,0.9882289809161205,0.167593956,0.1458393037,0.466824472,TiO2/SiO2,1043.8788911808172,1202.7831638781463
10% Yb,A,103.26163,886.6557662821577,0.22660885752045556,0.7027156166332064,1.0027431292727027,0.988118820127089,0.1411946267,0.1475556344,0.9746463299,TiO2/SiO2,1043.8788911808172,1202.7831638781463
10% Yb,B,104.93342,883.2934706848181,0.25139064370531333,1.000775444086355,1.0051775687859978,0.9766901717298455,0.1411946267,0.1475556344,0.9746463299,TiO2/SiO2,1043.8788911808172,1202.7831638781463
15% Yb,A,102.9808,876.213883483872,0.29474144694933424,0.7065251969299131,0.9971769494896136,0.938624190140298,0.1730604768,0.1445604563,1.202379942,TiO2/SiO2,1043.8788911808172,1202.7831638781463
15% Yb,B,103.09402,878.1814730434902,0.27320643816198065,1.0492479583199879,1.0055398945545047,0.9579587642425818,0.1730604768,0.1445604563,1.202379942,TiO2/SiO2,1043.8788911808172,1202.7831638781463
