candidate_material_pair,dbr_center_from_measured_lower_edge_nm,dbr_upper_edge_estimate_nm,dbr_fractional_half_width,relative_score_lower_is_better
TiO2/SiO2,1043.8788911808172,1202.7831638781463,0.15222481653746195,0.27757782361634326
Nb2O5/SiO2,1027.538637948542,1170.1026574135958,0.1387432201573265,0.42294402335921405
Ta2O5/SiO2,1002.4922931381692,1120.0099677928504,0.11722551430974872,1.5500295398259865
HfO2/SiO2,968.0056694180546,1051.0367203526212,0.08577537669224942,3.1019276072311435
Al2O3/SiO2,943.0438470955966,1001.1130757077051,0.061576382467211165,4.2252096117417555
