wavelength_nm,lamp_response,raw_pl_counts,corrected_pl_arb_u
950.0,62.57887,410.0,1310.3464476108309
951.0,91.23417,714.0,1565.2030374146002
952.0,119.52673,963.0,1611.3550500377614
953.0,150.4942,1237.0,1643.9171742166807
954.0,178.95697,1512.0,1689.7916856772888
955.0,205.77636,1770.0,1720.314228514879
956.0,222.14251,1984.0,1786.240733482304
957.0,237.94415,2140.0,1798.741427347552
958.0,249.21594,2288.0,1836.1586341547816
959.0,254.9209,2397.0,1880.583349580203
960.0,258.03316,2493.0,1932.3097853004629
961.0,261.63212,2628.0,2008.9276500148376
962.0,264.62538,2876.0,2173.638824817181
963.0,265.94946,3278.0,2465.1300288408183
964.0,267.14668,3987.0,2984.877072026499
965.0,268.73249,5138.0,3823.8770459053912
966.0,270.83681,6613.0,4883.3834662282425
967.0,272.04038,7721.0,5676.36319284659
968.0,273.4719,8674.0,6343.613365760797
969.0,273.83866,9009.0,6579.786798547728
970.0,275.50016,8542.0,6201.08532786333
971.0,275.5452,7697.0,5586.742211441172
972.0,276.91885,6583.0,4754.461460460348
973.0,277.80815,5348.0,3850.139025798919
974.0,278.8286,4243.0,3043.446762634823
975.0,279.07115,3540.0,2536.987431341434
976.0,280.4191,3249.0,2317.2458652067567
977.0,280.59816,3274.0,2333.5862216630358
978.0,281.59125,3437.0,2441.126988143275
979.0,282.32524,3604.0,2553.083812131002
980.0,282.47355,3778.0,2674.9407156882476
981.0,283.1767,3891.0,2748.107453755906
982.0,283.55442,3936.0,2776.1866663901765
983.0,284.78223,3910.0,2745.957849968377
984.0,284.34429,3886.0,2733.306162047425
985.0,285.44366,3812.0,2670.92987807121
986.0,285.56227,3768.0,2639.0040953239372
987.0,285.97602,3723.0,2603.714814969451
988.0,286.16081,3719.0,2599.237820161328
989.0,287.39621,3740.0,2602.678720084722
990.0,287.41812,3814.0,2653.973242883921
991.0,288.45913,3944.0,2734.5294981649567
992.0,288.90956,4072.0,2818.875221712982
993.0,290.08499,4332.0,2986.710894624365
994.0,289.45006,4634.0,3201.934040020583
995.0,291.02338,4954.0,3404.5374636223387
996.0,290.75119,5316.0,3656.7348185230126
997.0,290.77579,5656.0,3890.2826125930223
998.0,291.59362,6044.0,4145.495364404749
999.0,291.7512,6405.0,4390.7274417380295
1000.0,291.64423,6762.0,4637.156716592679
1001.0,291.86835,7055.0,4834.371386962649
1002.0,292.45747,7325.0,5009.2753657480525
1003.0,293.54514,7578.0,5163.090078752453
1004.0,294.43528,7838.0,5324.090238099185
1005.0,294.96129,8054.0,5461.055584615865
1006.0,295.98691,8142.0,5501.594648222787
1007.0,295.71623,8189.0,5538.41769185276
1008.0,296.71072,8106.0,5463.907741520091
1009.0,296.94014,7981.0,5375.494198931812
1010.0,296.70293,7779.0,5243.628702958883
1011.0,296.89932,7565.0,5096.003588017648
1012.0,297.83098,7389.0,4961.874684762479
1013.0,298.06198,7314.0,4907.704095638095
1014.0,297.55723,7305.0,4909.979838164241
1015.0,297.88884,7449.0,5001.194405268757
1016.0,298.15393,7797.0,5230.184287693273
1017.0,298.65421,8318.0,5570.321610400201
1018.0,299.39021,9226.0,6163.194180597956
1019.0,300.22813,10798.0,7193.196720107473
1020.0,300.39503,12694.0,8451.537963194663
1021.0,300.32669,14834.0,9878.575893471207
1022.0,300.66227,17453.0,11609.704137469595
1023.0,301.13316,20418.0,13560.778228475405
1024.0,301.57106,23929.0,15869.559897425172
1025.0,301.2672,27635.0,18345.840503048457
1026.0,302.3476,30647.0,20272.692754961507
1027.0,302.34808,34444.0,22784.33519405845
1028.0,301.9088,37267.0,24687.587774851214
1029.0,302.04434,38735.0,25648.552129796575
1030.0,302.28174,38771.0,25652.227620497353
1031.0,302.72296,36908.0,24384.011044289473
1032.0,303.02913,32888.0,21706.164024560938
1033.0,303.30183,28440.0,18753.596046552044
1034.0,303.473,23973.0,15799.099096130461
1035.0,303.78049,19232.0,12661.774296301912
1036.0,304.66717,15237.0,10002.390477451181
1037.0,305.35083,12116.0,7935.7897930062945
1038.0,305.42188,9704.0,6354.489075897248
1039.0,304.98121,8521.0,5587.885233978842
1040.0,304.98377,7484.0,4907.802143045185
1041.0,306.1825,6726.0,4393.458149959583
1042.0,305.46776,6309.0,4130.714154580503
1043.0,306.08686,6033.0,3942.018288534176
1044.0,305.47368,5916.0,3873.328792189232
1045.0,305.37379,6006.0,3933.539941328953
1046.0,306.23448,6152.0,4017.836267163645
1047.0,305.96334,6257.0,4090.032485591247
1048.0,306.65404,6372.0,4155.823285419621
1049.0,305.90129,6310.0,4125.513821795259
1050.0,306.31767,6037.0,3941.6596502578514
1051.0,306.28688,5580.0,3643.642848821993
1052.0,306.98004,5064.0,3299.2373054612935
1053.0,306.60469,4489.0,2928.200478603246
1054.0,307.26469,3854.0,2508.586326661876
1055.0,307.68383,3348.0,2176.2599614025867
1056.0,307.48107,2949.0,1918.1668647113788
1057.0,307.20876,2625.0,1708.9356436320372
1058.0,307.62887,2298.0,1494.008023369198
1059.0,307.42558,2132.0,1387.0023437867467
1060.0,307.88123,1932.0,1255.0294150767163
1061.0,307.92091,1791.0,1163.2857281436327
1062.0,308.16917,1636.0,1061.754490236645
1063.0,307.51348,1560.0,1014.5896693699411
1064.0,308.28398,1446.0,938.0961021717704
1065.0,308.42862,1370.0,888.3741074352956
1066.0,307.77155,1275.0,828.5366207500336
1067.0,307.77643,1233.0,801.2309454625879
1068.0,308.47979,1202.0,779.3055097709967
1069.0,307.89107,1138.0,739.2224789111292
1070.0,308.80555,1095.0,709.1841451683754
1071.0,308.0761,1043.0,677.1054294701861
1072.0,308.53673,1062.0,688.4107444841333
1073.0,308.402,1008.0,653.6922588050661
1074.0,308.56543,1007.0,652.6978735109763
1075.0,308.57923,943.0,611.1882513933293
1076.0,309.12074,963.0,623.0575146785686
1077.0,309.20567,896.0,579.549527665518
1078.0,309.36132,873.0,564.3885926010402
1079.0,309.55265,818.0,528.5046017212256
1080.0,309.5677,768.0,496.17579611826426
1081.0,309.90128,764.0,493.06024163565894
1082.0,310.1648,705.0,454.5970400251737
1083.0,309.86137,710.0,458.2694512710636
1084.0,310.44512,673.0,433.5709963809385
1085.0,310.1413,636.0,410.13563817524465
1086.0,309.87236,597.0,385.31994270156906
1087.0,310.52951,571.0,367.7589289340005
1088.0,310.83137,549.0,353.24619905642083
1089.0,310.74093,537.0,345.62553442830983
1090.0,310.221,512.0,330.0872603724442
1091.0,310.66685,473.0,304.5062580703413
1092.0,310.43245,469.0,302.1591331705174
1093.0,311.13094,414.0,266.12589541882267
1094.0,310.89654,388.0,249.600719261784
1095.0,310.91349,378.0,243.1544543146069
1096.0,311.93941,371.0,237.86670622990536
1097.0,311.88552,353.0,226.3651098646709
1098.0,311.3258,337.0,216.49346119081682
1099.0,311.88583,289.0,185.32422585533942
1100.0,312.26618,275.0,176.1317860294701
1101.0,312.03116,255.0,163.44521489456375
1102.0,312.08594,227.0,145.4727502302731
1103.0,311.81378,216.0,138.54422982845722
1104.0,312.19591,209.0,133.89028703162703
1105.0,311.81392,190.0,121.86755485451066
1106.0,312.26994,199.0,127.45383049037638
1107.0,311.48537,130.0,83.47101502712631
1108.0,311.57645,159.0,102.06162885545425
1109.0,311.37487,152.0,97.63151406534509
