wavelength_nm,lamp_response,raw_pl_counts,corrected_pl_arb_u
965.0,1040.47214,8031.0,15.43722
965.5,1045.8594,1576.0,3.01379
966.0,1050.18618,1494.0,2.84521
966.5,1055.58111,1401.0,2.65446
967.0,1058.23611,1421.0,2.6856
967.5,1061.70045,1443.0,2.71828
968.0,1065.7489,1576.0,2.95754
968.5,1069.8327,1562.0,2.92008
969.0,1074.08122,1568.0,2.9197
969.5,1077.20093,1562.0,2.90011
970.0,1079.31999,1497.0,2.77397
970.5,1083.64159,1350.0,2.4916
971.0,1085.69991,1331.0,2.45187
971.5,1090.61019,1323.0,2.42616
972.0,1095.20013,1167.0,2.13112
972.5,1097.0382,1061.0,1.9343
973.0,1100.30448,988.0,1.79587
973.5,1102.79466,994.0,1.80269
974.0,1104.63766,857.0,1.55164
974.5,1108.46238,821.0,1.48133
975.0,1112.16008,806.0,1.44943
975.5,1115.4707,781.0,1.40031
976.0,1119.17382,716.0,1.27952
976.5,1122.35953,759.0,1.35251
977.0,1123.88884,727.0,1.29372
977.5,1126.55812,753.0,1.33682
978.0,1130.10828,750.0,1.32731
978.5,1131.44687,746.0,1.31867
979.0,1133.95916,813.0,1.43391
979.5,1137.05992,968.0,1.70264
980.0,1139.64143,898.0,1.57593
980.5,1142.55102,895.0,1.56667
981.0,1144.67982,900.0,1.57249
981.5,1148.24625,981.0,1.70869
982.0,1150.05234,965.0,1.67818
982.5,1152.05576,959.0,1.66485
983.0,1153.96269,934.0,1.61877
983.5,1156.06717,920.0,1.5916
984.0,1158.69643,910.0,1.57073
984.5,1161.22954,912.0,1.57075
985.0,1163.73186,917.0,1.57596
985.5,1166.66164,909.0,1.55829
986.0,1168.93868,909.0,1.55526
986.5,1171.11918,898.0,1.53358
987.0,1173.69461,905.0,1.54214
987.5,1175.91135,916.0,1.55794
988.0,1178.85134,896.0,1.52012
988.5,1181.13736,892.0,1.51041
989.0,1184.04875,905.0,1.52865
989.5,1186.10864,896.0,1.51082
990.0,1189.45116,899.0,1.51162
990.5,1194.04493,899.0,1.50581
991.0,1196.96568,892.0,1.49044
991.5,1198.04708,892.0,1.48909
992.0,1200.60971,953.0,1.58753
992.5,1203.50341,1043.0,1.73327
993.0,1207.18946,1057.0,1.75117
993.5,1209.52798,1092.0,1.80566
994.0,1212.00007,1242.0,2.0495
994.5,1214.21037,1279.0,2.10672
995.0,1215.59802,1401.0,2.30504
995.5,1218.27319,1468.0,2.40997
996.0,1220.38943,1595.0,2.61392
996.5,1221.64899,1724.0,2.82241
997.0,1224.89096,1842.0,3.00761
997.5,1226.08714,2028.0,3.30808
998.0,1228.11048,2213.0,3.60391
998.5,1230.43292,2394.0,3.89131
999.0,1232.88944,2447.0,3.96954
999.5,1235.57946,2632.0,4.26035
1000.0,1237.77504,2815.0,4.54848
