wavelength_nm,lamp_response,raw_pl_counts,corrected_pl_arb_u
1042.5,1423.41307,3028.0,4.25456
1043.0,1423.56747,3215.0,4.51682
1043.5,1425.0575,3436.0,4.82226
1044.0,1427.26812,3619.0,5.07123
1044.5,1428.93216,3926.0,5.49501
1045.0,1432.24319,4173.0,5.82722
1045.5,1433.22457,4391.0,6.12744
1046.0,1434.48122,4581.0,6.38698
1046.5,1436.63134,4656.0,6.48183
1047.0,1437753.0,4795.0,6.67013
1047.5,1439.63131,4979.0,6.91705
1048.0,1442.26719,4988.0,6.91689
1048.5,1446.03973,4983.0,6.89193
1049.0,1448.09557,4859.0,6.71088
1049.5,1449.4993,4769.0,6.5802
1050.0,1451.42048,4616.0,6.36067
1050.5,1453.48093,4333.0,5.96224
1051.0,1455.64638,4032.0,5.53981
1051.5,1457.81355,3829.0,5.25307
1052.0,1459.53427,3463.0,4.74535
1052.5,1461.56677,3216.0,4.40076
1053.0,1464.60153,3017.0,4.11989
1053.5,1466.39606,2671.0,3.64294
1054.0,1468.39923,2316.0,3.15446
1054.5,1470.33491,2036.0,2.76944
1055.0,1472.75597,1841.0,2.50007
1055.5,1473.69232,1656.0,2.24742
1056.0,1475.4941,1492.0,2.02237
1056.5,1478.23156,1400.0,1.89416
1057.0,1480.38276,1242.0,1.67794
1057.5,1480.97739,1124.0,1.51792
1058.0,1482.68107,1116.0,1.50538
1058.5,1485.39116,1065.0,1.43397
1059.0,1486.9593,1021.0,1.37327
1059.5,1487.69627,873.0,1.17363
1060.0,1490.37696,872.0,1.17017
1060.5,1492.5044,864.0,1.15779
1061.0,1494.32102,844.0,1.12961
1061.5,1494.95792,862.0,1.15321
1062.0,1496.32518,875.0,1.16953
1062.5,1498076.0,842.0,1.12411
1063.0,1500.59345,811.0,1.08091
1063.5,1502.13862,689.0,0.91736
1064.0,1504.24202,664.0,0.88284
1064.5,1504.81482,666.0,0.88516
1065.0,1506.50293,665.0,0.88284
1065.5,1508.08785,664.0,0.88059
1066.0,1509.81351,687.0,0.91005
1066.5,1511.61034,697.0,0.9222
1067.0,1513.65288,678.0,0.89585
1067.5,1514.71962,654.0,0.86353
1068.0,1517.04447,677.0,0.89252
1068.5,1518.56763,665.0,0.87583
1069.0,1519.95223,669.0,0.88029
1069.5,1522.24706,668.0,0.87765
1070.0,1524.54376,681.0,0.89338
1070.5,1526.80732,643.0,0.84228
1071.0,1528.40756,650.0,0.85056
1071.5,1530.60449,640.0,0.83627
1072.0,1532.06743,643.0,0.83939
1072.5,1533.98722,631.0,0.82269
1073.0,1536.75015,676.0,0.87978
1073.5,1538.42785,649.0,0.84372
1074.0,1540.01948,653.0,0.84804
1074.5,1543.2128,641.0,0.83073
1075.0,1544.79357,626.0,0.81046
1075.5,1546.44652,630.0,0.81477
1076.0,1548.41805,620.0,0.80082
1076.5,1550.14551,624.0,0.80509
1077.0,1552.40334,577.0,0.74336
1077.5,1554.52288,498.0,0.64071
1078.0,1556.18652,502.0,0.64517
1078.5,1558.45197,477.0,0.61215
1079.0,1559.59035,485.0,0.62196
1079.5,1562.35507,494.0,0.63238
1080.0,1564.59289,470.0,0.6008
1080.5,1565.94917,475.0,0.60666
1081.0,1568.36874,480.0,0.6121
1081.5,1570.8266,492.0,0.62642
1082.0,1572.43705,461.0,0.58635
1082.5,1574.36849,451.0,0.57293
1083.0,1575.52182,434.0,0.55093
1083.5,1576.64103,449.0,0.56957
1084.0,1578.61397,448.0,0.56759
1084.5,1581.40663,446.0,0.56405
1085.0,1582.53138,438.0,0.55354
1085.5,1584.86719,451.0,0.56913
1086.0,1586.88539,433.0,0.54572
1086.5,1588.7279,440.0,0.5539
1087.0,1591.24985,434.0,0.54548
1087.5,1593.23986,451.0,0.56614
1088.0,1594.73264,361.0,0.45274
1088.5,1597.29847,390.0,0.48832
1089.0,1599.33144,345.0,0.43143
1089.5,1601.68861,365.0,0.45577
1090.0,1603.15431,390.0,0.48654
1090.5,1605.05131,317.0,395.0
1091.0,1607.05804,315.0,0.39202
1091.5,1608.35044,296.0,0.36808
1092.0,1610.54089,319.0,0.39614
1092.5,1613631.0,306.0,0.37927
1093.0,1616.00679,300.0,0.37129
1093.5,1617.95438,313.0,0.38691
1094.0,1619.86837,317.0,0.39139
1094.5,1622.57597,293.0,0.36115
1095.0,1624.02722,305.0,0.37561
1095.5,1626.9567,295.0,0.36264
1096.0,1628.6646,260.0,0.31928
1096.5,1631.38412,261.0,0.31997
1097.0,1633.49363,275.0,0.3367
1097.5,1635.10033,1828.0,2.23595
1098.0,1637.25079,264.0,0.32249
1098.5,1639.87373,280.0,0.34149
