wavelength_nm,lamp_response,raw_pl_counts,corrected_pl_arb_u
950.0,62.57887,405.0,6471.8330644193475
951.0,91.23417,557.0,6105.168710363671
952.0,119.52673,687.0,5747.668324901049
953.0,150.4942,811.0,5388.911997937462
954.0,178.95697,916.0,5118.54888915475
955.0,205.77636,1003.0,4874.2236474588235
956.0,222.14251,1068.0,4807.724554836443
957.0,237.94415,1150.0,4833.066919274965
958.0,249.21594,1167.0,4682.686027226028
959.0,254.9209,1193.0,4679.883053919863
960.0,258.03316,1229.0,4762.953722692076
961.0,261.63212,1310.0,5007.030482342918
962.0,264.62538,1477.0,5581.475216020473
963.0,265.94946,1766.0,6640.359412649306
964.0,267.14668,2219.0,8306.298247838979
965.0,268.73249,2710.0,10084.377962634888
966.0,270.83681,3241.0,11966.615616245073
967.0,272.04038,3546.0,13034.829608751465
968.0,273.4719,3709.0,13562.636599957803
969.0,273.83866,3554.0,12978.445044976484
970.0,275.50016,3178.0,11535.383500321743
971.0,275.5452,2789.0,10121.751349687818
972.0,276.91885,2381.0,8598.186797323475
973.0,277.80815,2026.0,7292.802604963173
974.0,278.8286,1762.0,6319.294362199574
975.0,279.07115,1671.0,5987.720335835503
976.0,280.4191,1640.0,5848.38907192841
977.0,280.59816,1733.0,6176.091817565732
978.0,281.59125,1799.0,6388.692830476799
979.0,282.32524,1885.0,6676.696706252689
980.0,282.47355,1934.0,6846.658740260814
981.0,283.1767,1965.0,6939.130232113023
982.0,283.55442,1973.0,6958.09996543168
983.0,284.78223,1951.0,6850.848804716501
984.0,284.34429,1955.0,6875.467764800201
985.0,285.44366,1902.0,6663.311421945752
986.0,285.56227,1895.0,6636.030733331822
987.0,285.97602,1903.0,6654.404100036079
988.0,286.16081,1911.0,6678.063288959798
989.0,287.39621,1949.0,6781.578643643213
990.0,287.41812,2006.0,6979.379031495997
991.0,288.45913,2083.0,7221.126958262684
992.0,288.90956,2187.0,7569.84296400576
993.0,290.08499,2319.0,7994.208869614385
994.0,289.45006,2517.0,8695.80058128162
995.0,291.02338,2682.0,9215.754418081462
996.0,290.75119,2850.0,9802.19547854645
997.0,290.77579,3054.0,10502.937675794812
998.0,291.59362,3218.0,11035.906752692326
999.0,291.7512,3388.0,11612.634326782547
1000.0,291.64423,3584.0,12288.945335897783
1001.0,291.86835,3688.0,12635.833929920802
1002.0,292.45747,3840.0,13130.114269264519
1003.0,293.54514,3987.0,13582.238152537631
1004.0,294.43528,4086.0,13877.413060011015
1005.0,294.96129,4157.0,14093.374761142386
1006.0,295.98691,4162.0,14061.432649166814
1007.0,295.71623,4153.0,14043.869015914344
1008.0,296.71072,4086.0,13770.988793394457
1009.0,296.94014,3988.0,13430.316292031115
1010.0,296.70293,3922.0,13218.608929814074
1011.0,296.89932,3812.0,12839.369251502496
1012.0,297.83098,3780.0,12691.762287455791
1013.0,298.06198,3749.0,12577.92087404103
1014.0,297.55723,3797.0,12760.57046236114
1015.0,297.88884,3950.0,13259.97979649053
1016.0,298.15393,4252.0,14261.089900777091
1017.0,298.65421,4607.0,15425.866589993828
1018.0,299.39021,5222.0,17442.12010138875
1019.0,300.22813,6275.0,20900.773022168174
1020.0,300.39503,7238.0,24094.939253821874
1021.0,300.32669,8562.0,28508.95469863168
1022.0,300.66227,10027.0,33349.71162161451
1023.0,301.13316,11577.0,38444.786352987496
1024.0,301.57106,13404.0,44447.235752661414
1025.0,301.2672,15371.0,51021.153315063835
1026.0,302.3476,17008.0,56253.13381022373
1027.0,302.34808,18661.0,61720.25302757008
1028.0,301.9088,19698.0,65244.868649075484
1029.0,302.04434,19804.0,65566.53238395396
1030.0,302.28174,18969.0,62752.71539723173
1031.0,302.72296,17305.0,57164.4780428944
1032.0,303.02913,14767.0,48731.28863881832
1033.0,303.30183,12387.0,40840.50531445854
1034.0,303.473,10374.0,34184.260214252994
1035.0,303.78049,8467.0,27872.099357006107
1036.0,304.66717,6859.0,22513.091909443345
1037.0,305.35083,5576.0,18260.962316689955
1038.0,305.42188,4618.0,15120.069328366391
1039.0,304.98121,4106.0,13463.124498719118
1040.0,304.98377,3657.0,11990.802002349174
1041.0,306.1825,3374.0,11019.571660692562
1042.0,305.46776,3224.0,10554.305305410955
1043.0,306.08686,3163.0,10333.668031355543
1044.0,305.47368,3155.0,10328.222058280111
1045.0,305.37379,3253.0,10652.51867228029
1046.0,306.23448,3287.0,10733.605177313802
1047.0,305.96334,3326.0,10870.583384270807
1048.0,306.65404,3259.0,10627.611493394967
1049.0,305.90129,3133.0,10241.86593001945
1050.0,306.31767,2903.0,9477.089584809128
1051.0,306.28688,2612.0,8527.95261749377
1052.0,306.98004,2333.0,7599.842647749997
1053.0,306.60469,2026.0,6607.857172700131
1054.0,307.26469,1741.0,5666.124539074112
1055.0,307.68383,1543.0,5014.888172706378
1056.0,307.48107,1361.0,4426.288746816186
1057.0,307.20876,1208.0,3932.1795381095253
1058.0,307.62887,1066.0,3465.2144319224653
1059.0,307.42558,976.0,3174.7520814630975
1060.0,307.88123,874.0,2838.757010292573
1061.0,307.92091,799.0,2594.822157416981
1062.0,308.16917,769.0,2495.38264973099
1063.0,307.51348,697.0,2266.5673062527208
1064.0,308.28398,662.0,2147.370745635242
1065.0,308.42862,641.0,2078.2766527957097
1066.0,307.77155,610.0,1981.9895633628255
1067.0,307.77643,570.0,1851.9936695607262
1068.0,308.47979,540.0,1750.5198638782788
1069.0,307.89107,523.0,1698.6527085699497
1070.0,308.80555,496.0,1606.1887488744942
1071.0,308.0761,486.0,1577.5323045182668
1072.0,308.53673,458.0,1484.4261816089127
1073.0,308.402,470.0,1523.984928761811
1074.0,308.56543,444.0,1438.916861166204
1075.0,308.57923,412.0,1335.1514293427979
1076.0,309.12074,417.0,1348.9874538990816
1077.0,309.20567,379.0,1225.7213782657996
1078.0,309.36132,379.0,1225.104676951857
1079.0,309.55265,336.0,1085.4373238284343
1080.0,309.5677,317.0,1024.008641728449
1081.0,309.90128,320.0,1032.5868934778198
1082.0,310.1648,300.0,967.2277447344121
1083.0,309.86137,266.0,858.4484087190345
1084.0,310.44512,259.0,834.2859440019545
1085.0,310.1413,235.0,757.7191428552082
1086.0,309.87236,233.0,751.9225012518057
1087.0,310.52951,212.0,682.7048418039238
1088.0,310.83137,214.0,688.4761985252646
1089.0,310.74093,189.0,608.2237058375284
1090.0,310.221,183.0,589.9020375796609
1091.0,310.66685,187.0,601.9309752553258
1092.0,310.43245,176.0,566.9510387847662
1093.0,311.13094,144.0,462.8276442066482
1094.0,310.89654,145.0,466.3930965587458
1095.0,310.91349,124.0,398.8247663361277
1096.0,311.93941,105.0,336.6038295706208
1097.0,311.88552,115.0,368.7250373149738
1098.0,311.3258,80.0,256.9655325707024
1099.0,311.88583,84.0,269.3293247724656
1100.0,312.26618,51.0,163.3222015909632
1101.0,312.03116,43.0,137.80674981306353
1102.0,312.08594,34.0,108.94435039271555
1103.0,311.81378,41.0,131.48873664274876
1104.0,312.19591,17.0,54.452987548747835
1105.0,311.81392,27.0,86.59010476504706
1106.0,312.26994,2.0,6.404715100018913
1107.0,311.48537,24.0,77.05016771734736
1108.0,311.57645,13.0,41.72330739373916
1109.0,311.37487,0.0,0.0
1110.0,312.41909,0.0,0.0
1111.0,311.92444,0.0,0.0
1112.0,311.64905,0.0,0.0
1113.0,312.36637,0.0,0.0
1114.0,311.35408,0.0,0.0
1115.0,312.22035,0.0,0.0
1116.0,311.61158,0.0,0.0
1117.0,311.81477,0.0,0.0
