wavelength_nm,lamp_response,raw_pl_counts,corrected_pl_arb_u
1110.0,312.41909,25.0,80.02071832422277
1111.0,311.92444,17.0,54.50037836086201
1112.0,311.64905,23.0,73.80096297421731
1113.0,312.36637,23.0,73.63148600151801
1114.0,311.35408,6.0,19.2706644473713
1115.0,312.22035,0.0,0.0
1116.0,311.61158,3.0,9.627370073987622
1117.0,311.81477,0.0,0.0
1118.0,311.94442,0.0,0.0
1119.0,311.33303,0.0,0.0
1120.0,311.31394,0.0,0.0
1121.0,311.33197,0.0,0.0
1122.0,311.46166,0.0,0.0
