wavelength_nm,lamp_response,raw_pl_counts,intensity_arb_u
965.0,1040.47214,16625.0,15.97832
965.5,1045.8594,6019.0,5.75508
966.0,1050.18618,6329.0,6.02655
966.5,1055.58111,6790.0,6.43248
967.0,1058.23611,7264.0,6.86425
967.5,1061.70045,7737.0,7.28737
968.0,1065.7489,8023.0,7.52804
968.5,1069.8327,8348.0,7.80309
969.0,1074.08122,8669.0,8.07108
969.5,1077.20093,8673.0,8.05142
970.0,1079.31999,8661.0,8.0245
970.5,1083.64159,8623.0,7.95743
971.0,1085.69991,8333.0,7.67523
971.5,1090.61019,8019.0,7.35276
972.0,1095.20013,7444.0,6.79693
972.5,1097.0382,7016.0,6.3954
973.0,1100.30448,6673.0,6.06468
973.5,1102.79466,6103.0,5.53412
974.0,1104.63766,5488.0,4.96814
974.5,1108.46238,4816.0,4.34476
975.0,1112.16008,4209.0,3.78453
975.5,1115.4707,3854.0,3.45504
976.0,1119.17382,3562.0,3.1827
976.5,1122.35953,3207.0,2.85737
977.0,1123.88884,2922.0,2.5999
977.5,1126.55812,2879.0,2.55557
978.0,1130.10828,2888.0,2.55551
978.5,1131.44687,2895.0,2.55867
979.0,1133.95916,2891.0,2.54947
979.5,1137.05992,3110.0,2.73512
980.0,1139.64143,3153.0,2.76666
980.5,1142.55102,3193.0,2.79462
981.0,1144.67982,3176.0,2.77457
981.5,1148.24625,3173.0,2.76334
982.0,1150.05234,3329.0,2.89465
982.5,1152.05576,3426.0,2.97381
983.0,1153.96269,3225.0,2.79472
983.5,1156.06717,3316.0,2.86835
984.0,1158.69643,3215.0,2.77467
984.5,1161.22954,3337.0,2.87368
985.0,1163.73186,3206.0,2.75493
985.5,1166.66164,3173.0,2.71973
986.0,1168.93868,3166.0,2.70844
986.5,1171.11918,3178.0,2.71364
987.0,1173.69461,3167.0,2.69832
987.5,1175.91135,3157.0,2.68473
988.0,1178.85134,3162.0,2.68227
988.5,1181.13736,3166.0,2.68047
989.0,1184.04875,3160.0,2.66881
989.5,1186.10864,3159.0,2.66333
990.0,1189.45116,3186.0,2.67855
990.5,1194.04493,3185.0,2.6674
991.0,1196.96568,3187.0,2.66257
991.5,1198.04708,3170.0,2.64597
992.0,1200.60971,3276.0,2.72861
992.5,1203.50341,3463.0,2.87743
993.0,1207.18946,3503.0,2.90178
993.5,1209.52798,3694.0,3.05408
994.0,1212.00007,3764.0,3.10561
994.5,1214.21037,4050.0,3.3355
995.0,1215.59802,4102.0,3.37447
995.5,1218.27319,4400.0,3.61167
996.0,1220.38943,4439.0,3.63736
996.5,1221.64899,4713.0,3.8579
997.0,1224.89096,5034.0,4.10975
997.5,1226.08714,5129.0,4.18323
998.0,1228.11048,5326.0,4.33674
998.5,1230.43292,5683.0,4.6187
999.0,1232.88944,5969.0,4.84147
999.5,1235.57946,6095.0,4.93291
1000.0,1237.77504,6349.0,5.12937
1000.5,1240.23722,6660.0,5.36994
1001.0,1243.33066,6941.0,5.58259
1001.5,1245.43235,7220.0,5.79718
1002.0,1248.03291,7293.0,5.8436
