wavelength_nm,lamp_response,raw_pl_counts,intensity_arb_u
1042.0,1421.61705,7638.0,5.37275
1042.5,1423.41307,7287.0,5.11939
1043.0,1423.56747,6994.0,4.91301
1043.5,1425.0575,6739.0,4.72893
1044.0,1427.26812,6696.0,4.69148
1044.5,1428.93216,6623.0,4.63493
1045.0,1432.24319,6640.0,4.63608
1045.5,1433.22457,6614.0,4.61477
1046.0,1434.48122,6564.0,4.57587
1046.5,1436.63134,6594.0,4.5899
1047.0,1437753.0,6625.0,4.60788
1047.5,1439.63131,6409.0,4.45183
1048.0,1442.26719,6623.0,4.59208
1048.5,1446.03973,6648.0,4.59738
1049.0,1448.09557,6452.0,4.45551
1049.5,1449.4993,6423.0,4.43119
1050.0,1451.42048,6322.0,4.35573
1050.5,1453.48093,6300.0,4.33442
1051.0,1455.64638,6023.0,4.13768
1051.5,1457.81355,5960.0,4.08831
1052.0,1459.53427,5729.0,3.92522
1052.5,1461.56677,5656.0,3.86982
1053.0,1464.60153,5353.0,3.65492
1053.5,1466.39606,5074.0,3.46018
1054.0,1468.39923,4760.0,3.24163
1054.5,1470.33491,4441.0,3.0204
1055.0,1472.75597,4428.0,3.00661
1055.5,1473.69232,4092.0,2.7767
1056.0,1475.4941,3876.0,2.62692
1056.5,1478.23156,3734.0,2.52599
1057.0,1480.38276,3420.0,2.31021
1057.5,1480.97739,3109.0,2.09929
1058.0,1482.68107,3018.0,2.0355
1058.5,1485.39116,2800.0,1.88503
1059.0,1486.9593,2636.0,1.77275
1059.5,1487.69627,2512.0,1.68852
1060.0,1490.37696,2508.0,1.6828
1060.5,1492.5044,2461.0,1.64891
1061.0,1494.32102,2200.0,1.47224
1061.5,1494.95792,2160.0,1.44486
1062.0,1496.32518,2140.0,1.43017
1062.5,1498076.0,2142.0,1.42983
1063.0,1500.59345,1903.0,1.26816
1063.5,1502.13862,1878.0,1.25022
1064.0,1504.24202,1864.0,1.23916
1064.5,1504.81482,1841.0,1.22341
1065.0,1506.50293,1828.0,1.21341
1065.5,1508.08785,1850.0,1.22672
1066.0,1509.81351,1844.0,1.22134
1066.5,1511.61034,1638.0,1.08361
1067.0,1513.65288,1553.0,1.02599
1067.5,1514.71962,1505.0,0.99358
1068.0,1517.04447,1542.0,1.01645
1068.5,1518.56763,1521.0,1.0016
1069.0,1519.95223,1547.0,1.0178
1069.5,1522.24706,1523.0,1.00049
1070.0,1524.54376,1545.0,1.01342
1070.5,1526.80732,1476.0,0.96672
1071.0,1528.40756,1472.0,0.96309
1071.5,1530.60449,1349.0,0.88135
1072.0,1532.06743,1251.0,0.81654
1072.5,1533.98722,1330.0,0.86702
1073.0,1536.75015,1237.0,0.80495
1073.5,1538.42785,1197.0,0.77807
1074.0,1540.01948,1177.0,0.76428
1074.5,1543.2128,1173.0,0.7601
1075.0,1544.79357,1204.0,0.77939
1075.5,1546.44652,1194.0,0.77209
1076.0,1548.41805,1176.0,0.75948
1076.5,1550.14551,1171.0,0.75541
1077.0,1552.40334,1200.0,0.77299
1077.5,1554.52288,1180.0,0.75908
1078.0,1556.18652,1181.0,0.75891
1078.5,1558.45197,1183.0,0.75909
1079.0,1559.59035,1142.0,0.73224
1079.5,1562.35507,1145.0,0.73287
1080.0,1564.59289,1154.0,0.73757
1080.5,1565.94917,1132.0,0.72288
1081.0,1568.36874,873.0,0.55663
1081.5,1570.8266,1126.0,0.71682
1082.0,1572.43705,1084.0,0.68938
1082.5,1574.36849,1013.0,0.64343
1083.0,1575.52182,885.0,0.56172
1083.5,1576.64103,886.0,0.56195
1084.0,1578.61397,884.0,0.55998
1084.5,1581.40663,873.0,0.55204
1085.0,1582.53138,879.0,0.55544
1085.5,1584.86719,882.0,0.55651
1086.0,1586.88539,831.0,0.52367
1086.5,1588.7279,817.0,0.51425
1087.0,1591.24985,826.0,0.51909
1087.5,1593.23986,874.0,0.54857
1088.0,1594.73264,845.0,0.52987
1088.5,1597.29847,837.0,0.52401
1089.0,1599.33144,817.0,0.51084
1089.5,1601.68861,822.0,0.51321
1090.0,1603.15431,815.0,0.50837
1090.5,1605.05131,821.0,0.51151
1091.0,1607.05804,597.0,0.37149
1091.5,1608.35044,827.0,0.51419
1092.0,1610.54089,680.0,0.42222
1092.5,1613631.0,688.0,0.42637
1093.0,1616.00679,672.0,0.41584
1093.5,1617.95438,692.0,0.4277
1094.0,1619.86837,813.0,0.50189
1094.5,1622.57597,586.0,0.36115
1095.0,1624.02722,590.0,0.36329
1095.5,1626.9567,589.0,0.36203
1096.0,1628.6646,609.0,0.37393
1096.5,1631.38412,575.0,0.35246
1097.0,1633.49363,562.0,0.34405
1097.5,1635.10033,534.0,0.32659
1098.0,1637.25079,554.0,0.33837
1098.5,1639.87373,564.0,0.34393
1099.0,1641.08943,551.0,0.33575
1099.5,1643.97121,528.0,0.32117
1100.0,1645.44435,547.0,0.33243
1100.5,1647.13668,532.0,0.32298
1101.0,1649.26612,526.0,0.31893
1101.5,1650.92657,527.0,0.31921
1102.0,1653.4602,539.0,0.32598
1102.5,1654.72574,552.0,0.33359
1103.0,1656.28356,530.0,0.31999
1103.5,1656.31599,537.0,0.32421
1104.0,1659.84156,540.0,0.32533
1104.5,1661.76947,533.0,0.32074
1105.0,1665.30272,528.0,0.31706
1105.5,1666.21565,492.0,0.29528
1106.0,1667.34856,480.0,0.28788
1106.5,1669.50482,529.0,0.31686
1107.0,1672.46718,418.0,0.24993
1107.5,1673.82528,363.0,0.21687
1108.0,1675.11193,515.0,0.30744
1108.5,1677.05876,368.0,0.21943
1109.0,1679.63036,323.0,0.1923
1109.5,1683.15761,341.0,0.2026
1110.0,1684.96638,312.0,0.18517
1110.5,1687.47428,326.0,0.19319
1111.0,1689.39806,309.0,0.18291
1111.5,1691.17732,306.0,0.18094
1112.0,1693.9142,316.0,0.18655
1112.5,1694.77922,319.0,0.18823
1113.0,1697.11701,251.0,0.1479
1113.5,1699.27362,306.0,0.18008
1114.0,1702.64855,297.0,0.17443
1114.5,1704.99558,186.0,0.10909
1115.0,1707.67747,343.0,0.20086
1115.5,1709.36622,239.0,0.13982
1116.0,1711.61101,228.0,0.13321
1116.5,1713.89555,281.0,0.16395
1117.0,1717.18127,276.0,0.16073
1117.5,1719.65712,290.0,0.16864
1118.0,1722.76543,271.0,0.15731
1118.5,1724.32173,213.0,0.12353
1119.0,1726.88081,285.0,0.16504
1119.5,1728.36745,294.0,0.1701
1120.0,1730.96937,212.0,0.12247
1120.5,1734.28015,268.0,0.15453
1121.0,1736.70323,282.0,0.16238
1121.5,1739.46399,283.0,0.16269
1122.0,1741.52127,278.0,0.15963
1122.5,1743.61837,284.0,0.16288
1123.0,1744.71224,279.0,0.15991
1123.5,1746.36665,292.0,0.1672
1124.0,1749.51516,265.0,0.15147
1124.5,1751.51058,296.0,0.169
1125.0,1752.61217,275.0,0.15691
1125.5,1754.87365,279.0,0.15899
1126.0,1757.21276,300.0,0.17072
1126.5,1760.71479,160.0,0.09087
1127.0,1763.21031,269.0,0.15256
