sample,I969_I1030,band_966_972_over_1020_1040
nominal 5 at.%,0.2564996263049749,0.1106515093260151
nominal 10 at.%,0.20681885975485637,0.0890046805510056
nominal 15 at.%,0.18507280470261636,0.08025379800862151
unknown/uncoated 300 K,0.28574764146376747,0.12170694008734234
