wl_nm,n,k,alpha_abs_percm,alpha_scat_percm,alphad_abs,alphad_scat,yag_ref_n,T_model,T_meas
260.0,1.9568642078964114,0.0,0.0,4.2239628217728376,0.0,0.4223962821772837,1.9406878549478308,0.527864689971035,0.52469
261.0,1.955476320913362,0.0,0.0,4.221804002666627,0.0,0.42218040026666265,1.9395288908977084,0.5282123124341541,0.52489
262.0,1.9541085545554604,0.0,0.0,4.219654536130546,0.0,0.42196545361305465,1.9383861573804266,0.5285562368256267,0.52535
263.0,1.9527605027198436,0.0,0.0,4.217514346181163,0.0,0.4217514346181163,1.9372593389970116,0.5288965297548514,0.526
264.0,1.951431769910819,0.0,0.0,4.2153833577383075,0.0,0.4215383357738307,1.9361481282480322,0.5292332562034885,0.52629
265.0,1.9501219708982809,0.0,0.0,4.213261496610965,0.0,0.4213261496610965,1.9350522252902358,0.5295664795751583,0.52629
266.0,1.9488307303892305,0.0,0.0,4.211148689483432,0.0,0.42111486894834316,1.9339713377020995,0.5298962617433273,0.52603
267.0,1.9475576827118108,0.0,0.0,4.20904486390175,0.0,0.42090448639017497,1.9329051802579187,0.5302226630974558,0.52612
268.0,1.9463024715113078,0.0,0.0,4.206949948260389,0.0,0.4206949948260389,1.9318534747100744,0.5305457425874874,0.52676
269.0,1.9450647494575866,0.0,0.0,4.204863871789195,0.0,0.4204863871789195,1.930815949579134,0.5308655577667414,0.527
270.0,1.9438441779634688,0.0,0.0,4.202786564540577,0.0,0.4202786564540576,1.9297923399514572,0.5311821648332793,0.52677
271.0,1.9426404269135724,0.0,0.0,4.200717957376943,0.0,0.4200717957376943,1.9287823872840009,0.5314956186698095,0.52726
272.0,1.9414531744031653,0.0,0.0,4.198657981958375,0.0,0.41986579819583747,1.9277858392160214,0.5318059728821847,0.52817
273.0,1.9402821064866012,0.0,0.0,4.196606570730527,0.0,0.41966065707305267,1.9268024493873925,0.5321132798365548,0.52832
274.0,1.9391269169349301,0.0,0.0,4.194563656912761,0.0,0.41945636569127615,1.925831977263272,0.5324175906952281,0.52859
275.0,1.937987307002301,0.0,0.0,4.192529174486502,0.0,0.41925291744865023,1.9248741879648557,0.5327189554512913,0.52934
276.0,1.9368629852007742,0.0,0.0,4.190503058183798,0.0,0.41905030581837976,1.9239288521059785,0.5330174229620411,0.53001
277.0,1.9357536670832056,0.0,0.0,4.188485243476112,0.0,0.4188485243476112,1.9229957456353242,0.5333130409812717,0.53073
278.0,1.9346590750338597,0.0,0.0,4.186475666563309,0.0,0.4186475666563309,1.9220746496840224,0.5336058561904666,0.53048
279.0,1.9335789380664292,0.0,0.0,4.184474264362847,0.0,0.4184474264362847,1.9211653504184198,0.5338959142289357,0.52972
280.0,1.9325129916291688,0.0,0.0,4.182480974499167,0.0,0.41824809744991664,1.9202676388978235,0.5341832597229383,0.52974
281.0,1.9314609774168379,0.0,0.0,4.180495735293281,0.0,0.4180495735293281,1.9193813109370148,0.5344679363138364,0.53011
282.0,1.9304226431891884,0.0,0.0,4.178518485752545,0.0,0.41785184857525454,1.9185061669733603,0.5347499866853078,0.53065
283.0,1.9293977425957258,0.0,0.0,4.176549165560621,0.0,0.4176549165560621,1.917642011938328,0.5350294525896663,0.53112
284.0,1.928386035006494,0.0,0.0,4.174587715067616,0.0,0.41745877150676153,1.916788655133251,0.5353063748733112,0.53158
285.0,1.927387285348647,0.0,0.0,4.1726340752804045,0.0,0.4172634075280404,1.9159459101091696,0.5355807935013467,0.53211
286.0,1.9264012639485724,0.0,0.0,4.170688187853128,0.0,0.4170688187853128,1.9151135945505968,0.5358527475814019,0.53221
287.0,1.925427746379349,0.0,0.0,4.168749995077846,0.0,0.41687499950778456,1.9142915301630619,0.5361222753866821,0.53221
288.0,1.9244665133133363,0.0,0.0,4.166819439875382,0.0,0.41668194398753816,1.913479542564287,0.5363894143782743,0.53232
289.0,1.9235173503796845,0.0,0.0,4.164896465786308,0.0,0.4164896465786308,1.9126774611788624,0.5366542012267442,0.53224
290.0,1.9225800480265836,0.0,0.0,4.162981016962099,0.0,0.4162981016962099,1.9118851191362876,0.5369166718330438,0.53274
291.0,1.9216544013880636,0.0,0.0,4.161073038156451,0.0,0.41610730381564515,1.9111023531722573,0.5371768613487565,0.53338
292.0,1.920740210155175,0.0,0.0,4.159172474716735,0.0,0.41591724747167347,1.9103290035330698,0.5374348041957072,0.5337
293.0,1.9198372784513769,0.0,0.0,4.157279272575614,0.0,0.41572792725756136,1.9095649138830428,0.537690534084957,0.5336
294.0,1.9189454147119829,0.0,0.0,4.155393378242801,0.0,0.41553933782428004,1.9088099312148308,0.5379440840352063,0.53381
295.0,1.9180644315674997,0.0,0.0,4.1535147387969635,0.0,0.41535147387969634,1.9080639057625344,0.5381954863906268,0.53439
296.0,1.9171941457307222,0.0,0.0,4.151643301877768,0.0,0.41516433018777676,1.9073266909175026,0.5384447728381464,0.53493
297.0,1.9163343778874393,0.0,0.0,4.14977901567806,0.0,0.414977901567806,1.9065981431467327,0.538691974424202,0.53515
298.0,1.91548495259062,0.0,0.0,4.147921828936181,0.0,0.41479218289361813,1.9058781219137724,0.5389371215709816,0.53575
299.0,1.9146456981579492,0.0,0.0,4.146071690928417,0.0,0.4146071690928417,1.9051664896020364,0.539180244092171,0.53633
300.0,1.9138164465725886,0.0,0.0,4.1442285514615715,0.0,0.4144228551461571,1.9044631114404533,0.5394213712082316,0.53598
301.0,1.91299703338705,0.0,0.0,4.1423923608656805,0.0,0.41423923608656804,1.9037678554313588,0.539660531561208,0.53567
302.0,1.9121872976300636,0.0,0.0,4.140563069986834,0.0,0.41405630699868345,1.903080592280557,0.5398977532291075,0.53574
303.0,1.9113870817163334,0.0,0.0,4.138740630180127,0.0,0.4138740630180127,1.9024011953294746,0.540133063739836,0.53621
304.0,1.9105962313590772,0.0,0.0,4.1369249933027294,0.0,0.4136924993302729,1.901729540489338,0.5403664900847355,0.53679
305.0,1.9098145954852543,0.0,0.0,4.135116111707076,0.0,0.41351161117070756,1.9010655061772959,0.5405980587317113,0.53693
306.0,1.9090420261533765,0.0,0.0,4.133313938234159,0.0,0.4133313938234159,1.9004089732544318,0.5408277956379817,0.53765
307.0,1.908278378473821,0.0,0.0,4.131518426206953,0.0,0.41315184262069526,1.8997598249655907,0.5410557262624549,0.53772
308.0,1.9075235105315511,0.0,0.0,4.129729529423929,0.0,0.41297295294239283,1.8991179468809658,0.5412818755777423,0.53751
309.0,1.9067772833111611,0.0,0.0,4.127947202152688,0.0,0.4127947202152688,1.8984832268393834,0.54150626808183,0.5379
310.0,1.906039560624167,0.0,0.0,4.126171399123696,0.0,0.4126171399123696,1.8978555548932272,0.5417289278094116,0.53816
311.0,1.9053102090384615,0.0,0.0,4.124402075524127,0.0,0.41244020755241273,1.8972348232549505,0.541949878342898,0.53812
312.0,1.9045890978098594,0.0,0.0,4.122639186991804,0.0,0.41226391869918044,1.8966209262451197,0.5421691428231133,0.5383
313.0,1.9038760988156658,0.0,0.0,4.1208826896092345,0.0,0.41208826896092343,1.8960137602419393,0.5423867439596882,0.5387
314.0,1.9031710864901896,0.0,0.0,4.119132539897756,0.0,0.41191325398977563,1.8954132236322139,0.5426027040411591,0.53899
315.0,1.9024739377621458,0.0,0.0,4.1173886948117655,0.0,0.41173886948117655,1.8948192167636915,0.5428170449447848,0.5392
316.0,1.9017845319938744,0.0,0.0,4.115651111733051,0.0,0.4115651111733051,1.8942316418987502,0.5430297881460884,0.53964
317.0,1.901102750922318,0.0,0.0,4.113919748465207,0.0,0.4113919748465207,1.8936504031693817,0.5432409547281349,0.54027
318.0,1.900428478601704,0.0,0.0,4.112194563228151,0.0,0.4112194563228151,1.8930754065334288,0.5434505653905498,0.54057
319.0,1.899761601347861,0.0,0.0,4.1104755146527125,0.0,0.4110475514652713,1.892506559732038,0.5436586404582912,0.54072
320.0,1.899102007684134,0.0,0.0,4.108762561775328,0.0,0.41087625617753276,1.8919437722482877,0.5438651998901816,0.5406
321.0,1.8984495882888262,0.0,0.0,4.1070556640328055,0.0,0.41070556640328054,1.891386955266953,0.5440702632872044,0.54098
322.0,1.8978042359441327,0.0,0.0,4.105354781257181,0.0,0.4105354781257181,1.890836021635375,0.5442738499005778,0.5416
323.0,1.8971658454865072,0.0,0.0,4.103659873670653,0.0,0.41036598736706525,1.890290885825392,0.5444759786396074,0.54156
324.0,1.8965343137584207,0.0,0.0,4.101970901880598,0.0,0.41019709018805983,1.8897514638963082,0.544676668079331,0.54153
325.0,1.8959095395614638,0.0,0.0,4.100287826874669,0.0,0.4100287826874669,1.8892176734588615,0.5448759364679561,0.54188
326.0,1.8952914236107496,0.0,0.0,4.098610610015963,0.0,0.40986106100159625,1.8886894336401594,0.5450738017340965,0.5416
327.0,1.8946798684905797,0.0,0.0,4.096939213038273,0.0,0.40969392130382726,1.8881666650495545,0.5452702814938227,0.54229
328.0,1.894074778611323,0.0,0.0,4.095273598041408,0.0,0.4095273598041408,1.8876492897454324,0.5454653930575225,0.54278
329.0,1.8934760601674832,0.0,0.0,4.09361372748659,0.0,0.4093613727486589,1.8871372312028771,0.5456591534365777,0.54238
330.0,1.8928836210969002,0.0,0.0,4.091959564191921,0.0,0.4091959564191921,1.8866304142821948,0.5458515793498732,0.5426
331.0,1.8922973710410669,0.0,0.0,4.09031107132792,0.0,0.409031107132792,1.886128765198265,0.5460426872301297,0.54317
332.0,1.8917172213065094,0.0,0.0,4.088668212413135,0.0,0.40886682124131346,1.8856322114906947,0.5462324932300746,0.54327
333.0,1.8911430848272144,0.0,0.0,4.087030951309811,0.0,0.4087030951309811,1.8851406819947523,0.5464210132284536,0.54415
334.0,1.8905748761280559,0.0,0.0,4.085399252219631,0.0,0.40853992522196303,1.884654106813056,0.5466082628358858,0.54695
335.0,1.8900125112891994,0.0,0.0,4.0837730796795295,0.0,0.4083773079679529,1.8841724172879966,0.5467942574005706,0.55135
336.0,1.8894559079114532,0.0,0.0,4.0821523985575565,0.0,0.4082152398557556,1.883695545974869,0.5469790120138476,0.5545
337.0,1.8889049850825292,0.0,0.0,4.080537174048818,0.0,0.4080537174048817,1.8832234266156958,0.5471625415156144,0.55514
338.0,1.8883596633441997,0.0,0.0,4.078927371671462,0.0,0.4078927371671462,1.8827559941137169,0.5473448604996104,0.55508
339.0,1.8878198646603068,0.0,0.0,4.077322957262744,0.0,0.4077322957262744,1.8822931845085313,0.5475259833185624,0.55459
340.0,1.887285512385613,0.0,0.0,4.075723896975138,0.0,0.40757238969751375,1.8818349349518688,0.5477059240892052,0.55246
341.0,1.886756531235455,0.0,0.0,4.074130157272513,0.0,0.40741301572725125,1.8813811836839702,0.5478846966971774,0.54927
342.0,1.886232847256189,0.0,0.0,4.072541704926358,0.0,0.4072541704926359,1.8809318700105664,0.5480623148017887,0.54695
343.0,1.8857143877963922,0.0,0.0,4.07095850701209,0.0,0.407095850701209,1.8804869342804293,0.5482387918406776,0.54513
344.0,1.885201081478805,0.0,0.0,4.069380530905369,0.0,0.40693805309053693,1.8800463178634865,0.5484141410343483,0.54363
345.0,1.884692858172991,0.0,0.0,4.067807744278521,0.0,0.40678077442785204,1.8796099631294774,0.5485883753905977,0.54119
346.0,1.8841896489686891,0.0,0.0,4.066240115096975,0.0,0.40662401150969746,1.8791778134271366,0.5487615077088344,0.53761
347.0,1.8836913861498479,0.0,0.0,4.064677611615777,0.0,0.40646776116157773,1.8787498130638947,0.5489335505842923,0.53444
348.0,1.883198003169304,0.0,0.0,4.06312020237614,0.0,0.40631202023761404,1.8783259072860707,0.5491045164121419,0.53273
349.0,1.882709434624109,0.0,0.0,4.0615678562020525,0.0,0.40615678562020524,1.8779060422595564,0.5492744173915018,0.53249
350.0,1.8822256162314646,0.0,0.0,4.060020542196932,0.0,0.40600205421969326,1.8774901650509628,0.549443265529354,0.53241
351.0,1.881746484805263,0.0,0.0,4.058478229740338,0.0,0.40584782297403377,1.8770782236092323,0.5496110726443636,0.53237
352.0,1.8812719782332064,0.0,0.0,4.056940888484719,0.0,0.4056940888484718,1.8766701667476886,0.5497778503706119,0.53331
353.0,1.880802035454494,0.0,0.0,4.0554084883522155,0.0,0.4055408488352215,1.8762659441265228,0.5499436101612334,0.53349
354.0,1.8803365964380585,0.0,0.0,4.053880999531505,0.0,0.4053880999531505,1.8758655062356968,0.5501083632919742,0.53373
355.0,1.8798756021613354,0.0,0.0,4.052358392474702,0.0,0.40523583924747025,1.875468804378257,0.550272120864662,0.5338
356.0,1.8794189945895519,0.0,0.0,4.050840637894287,0.0,0.4050840637894287,1.8750757906540436,0.5504348938105932,0.53433
357.0,1.8789667166555193,0.0,0.0,4.049327706760093,0.0,0.40493277067600925,1.8746864179437879,0.5505966928938465,0.53518
358.0,1.878518712239914,0.0,0.0,4.04781957029633,0.0,0.404781957029633,1.8743006398935824,0.5507575287145129,0.53535
359.0,1.8780749261520402,0.0,0.0,4.046316199978655,0.0,0.40463161999786545,1.873918410899719,0.5509174117118537,0.53452
360.0,1.8776353041110454,0.0,0.0,4.044817567531277,0.0,0.4044817567531277,1.8735396860938804,0.5510763521673873,0.53585
361.0,1.8771997927275947,0.0,0.0,4.043323644924111,0.0,0.40433236449241106,1.873164421328679,0.5512343602079,0.53611
362.0,1.8767683394859809,0.0,0.0,4.041834404369968,0.0,0.40418344043699683,1.8727925731635306,0.5513914458083916,0.53637
363.0,1.876340892726653,0.0,0.0,4.040349818321789,0.0,0.40403498183217884,1.8724240988508571,0.5515476187949516,0.53628
364.0,1.8759174016291684,0.0,0.0,4.0388698594699095,0.0,0.40388698594699096,1.8720589563226058,0.5517028888475726,0.53599
365.0,1.875497816195542,0.0,0.0,4.037394500739374,0.0,0.4037394500739374,1.8716971041770807,0.5518572655028938,0.53646
366.0,1.875082087233984,0.0,0.0,4.035923715287279,0.0,0.40359237152872784,1.8713385016660746,0.5520107581568914,0.53616
