wl_nm,n,k,alpha_abs_percm,alpha_scat_percm,alphad_abs,alphad_scat,yag_ref_n,T_model,T_meas,s12_model,s12_meas,s33_model,s33_meas,s34_model,s34_meas
260.0,1.956076517191202,0.0,0.0,4.066091328851162,0.0,0.40660913288511624,1.9406878549478308,0.5364796486058543,0.53653,-0.9858718839434222,-0.98984,-0.16505065694862484,-0.166055,1.308798255983396e-18,0.009915
261.0,1.954703056281416,0.0,0.0,4.064387360812388,0.0,0.40643873608123876,1.9395288908977084,0.5368055215602915,0.53691,-0.9860291057199023,-0.9901800000000001,-0.16414063901400766,-0.16517500000000002,8.819331095042902e-20,0.009760000000000001
262.0,1.9533494610153044,0.0,0.0,4.062690618907408,0.0,0.4062690618907408,1.9383861573804266,0.5371277682953765,0.53703,-0.9861833612207203,-0.99042,-0.16324263679916556,-0.164025,-2.438682668509166e-19,0.009565
263.0,1.9520153313851447,0.0,0.0,4.0610010450860505,0.0,0.406100104508605,1.9372593389970116,0.5374464551552056,0.53731,-0.9863347234446427,-0.9906699999999999,-0.16235643350986717,-0.163015,-6.722938110291931e-19,0.00971
264.0,1.9507002778036735,0.0,0.0,4.059318581982969,0.0,0.40593185819829686,1.9361481282480322,0.5377616468542256,0.53774,-0.9864832631923605,-0.99105,-0.16148181733545613,-0.162295,1.6946914886949848e-18,0.009930000000000001
265.0,1.9494039207694445,0.0,0.0,4.057643172907012,0.0,0.40576431729070117,1.9350522252902358,0.5380734065270394,0.53771,-0.9866290491444911,-0.99085,-0.16061858130941606,-0.161295,-1.7045864847940719e-18,0.00963
266.0,1.948125890544988,0.0,0.0,4.055974761830787,0.0,0.4055974761830787,1.9339713377020995,0.5383817957763961,0.53737,-0.9867721479364038,-0.9908049999999999,-0.15976652317452986,-0.1604,-1.5944904806340116e-18,0.009345
267.0,1.946865826847199,0.0,0.0,4.054313293380425,0.0,0.40543132933804255,1.9329051802579187,0.5386868747194457,0.53762,-0.9869126242300053,-0.991125,-0.15892544525246258,-0.15981499999999998,5.5227890154957045e-19,0.00955
268.0,1.9456233785494124,0.0,0.0,4.052658712825552,0.0,0.40526587128255515,1.9318534747100744,0.538988702032328,0.53818,-0.9870505407826297,-0.99146,-0.15809515431759408,-0.15879,1.2098343504894152e-18,0.009185
269.0,1.9443982033946632,0.0,0.0,4.0510109660694305,0.0,0.40510109660694305,1.930815949579134,0.539287334993164,0.5381,-0.9871859585131636,-0.99168,-0.15727546147495303,-0.15797499999999998,-8.445319626197058e-19,0.009195
270.0,1.9431899677196296,0.0,0.0,4.049369999639314,0.0,0.4049369999639314,1.9297923399514572,0.5395828295235194,0.538,-0.9873189365655345,-0.99183,-0.15646618204208676,-0.15729500000000002,6.125082790395966e-19,0.009425
271.0,1.9419983461888124,0.0,0.0,4.047735760676959,0.0,0.4047735760676959,1.9287823872840009,0.5398752402284003,0.5384,-0.9874495323696737,-0.99196,-0.1556671354347323,-0.156825,-1.6911632994886929e-18,0.00881
272.0,1.940823021538498,0.0,0.0,4.046108196929331,0.0,0.40461081969293305,1.9277858392160214,0.5401646204348458,0.53878,-0.9875778017000753,-0.99181,-0.15487814505613942,-0.15587,3.800072536507107e-19,0.008715
273.0,1.9396636843300952,0.0,0.0,4.044487256739476,0.0,0.4044487256739476,1.9268024493873925,0.5404510222291662,0.53905,-0.9877037987320553,-0.9921549999999999,-0.15409903818991785,-0.154785,-5.90483687280722e-20,0.009115000000000002
274.0,1.9385200327124417,0.0,0.0,4.042872889037575,0.0,0.40428728890375754,1.925831977263272,0.5407344964928924,0.53958,-0.98782757609581,-0.992475,-0.15332964589627443,-0.15413,-2.0081137517713088e-20,0.00868
275.0,1.9373917721927085,0.0,0.0,4.041265043332146,0.0,0.40412650433321456,1.9248741879648557,0.5410150929374798,0.53997,-0.9879491849283751,-0.9923150000000001,-0.15256980291152133,-0.1533,8.590456462111301e-19,0.00814
276.0,1.9362786154155318,0.0,0.0,4.039663669701426,0.0,0.40396636697014254,1.9239288521059785,0.5412928601378203,0.54065,-0.9880686749235762,-0.992865,-0.15181934755073367,-0.152445,2.420492627931138e-18,0.008165
277.0,1.9351802819500419,0.0,0.0,4.038068718784905,0.0,0.4038068718784905,1.9229957456353242,0.5415678455646098,0.54146,-0.9881860943800564,-0.992935,-0.1510781216134444,-0.15164,9.823742875697074e-19,0.00848
278.0,1.9340964980844484,0.0,0.0,4.036480141775015,0.0,0.40364801417750146,1.9220746496840224,0.5418400956156159,0.54158,-0.988301490247469,-0.99275,-0.15034597029226834,-0.15148,1.3677594423268905e-19,0.008785000000000001
279.0,1.9330269966278812,0.0,0.0,4.034897890408974,0.0,0.4034897890408974,1.9211653504184198,0.5421096556458906,0.54127,-0.9884149081709055,-0.9931,-0.14962274208434767,-0.15107,-3.7040122013476525e-19,0.008685
280.0,1.931971516719184,0.0,0.0,4.0333219169607775,0.0,0.4033321916960777,1.9202676388978235,0.5423765699969649,0.54093,-0.9885263925336514,-0.993485,-0.14890828870552242,-0.150315,1.4340938600566622e-18,0.008324999999999999
281.0,1.9309298036423785,0.0,0.0,4.031752174233336,0.0,0.4031752174233336,1.9193813109370148,0.5426408820250707,0.54125,-0.9886359864983195,-0.9931949999999999,-0.14820246500712692,-0.1491,-1.7048322605615264e-20,0.008615000000000001
282.0,1.9299016086485319,0.0,0.0,4.0301886155507605,0.0,0.403018861555076,1.9185061669733603,0.5429026341284249,0.54191,-0.9887437320464493,-0.993385,-0.14750512889532078,-0.148285,8.724187614856033e-20,0.008315
283.0,1.928886688783764,0.0,0.0,4.0286311947507745,0.0,0.4028631194750774,1.917642011938328,0.5431618677736114,0.542,-0.9888496700166259,-0.9938499999999999,-0.14681614125286604,-0.14790999999999999,-5.542933473634262e-20,0.00821
284.0,1.9278848067231564,0.0,0.0,4.027079866177275,0.0,0.4027079866177275,1.916788655133251,0.543418623521097,0.54232,-0.9889538401411844,-0.9937750000000001,-0.14613536586326342,-0.14711000000000002,-5.142078977339817e-20,0.007904999999999999
285.0,1.9268957306103216,0.0,0.0,4.025534584673028,0.0,0.4025534584673027,1.9159459101091696,0.5436729410499103,0.54278,-0.9890562810815587,-0.993535,-0.14546266933716734,-0.14641500000000002,-1.6904838019988333e-19,0.007825
286.0,1.9259192339024127,0.0,0.0,4.023995305572479,0.0,0.4023995305572478,1.9151135945505968,0.5439248591815228,0.54235,-0.9891570304623327,-0.993855,-0.14479792104100292,-0.14574,-4.363534199854932e-19,0.008154999999999999
287.0,1.9249550952203571,0.0,0.0,4.022461984694709,0.0,0.40224619846947085,1.9142915301630619,0.5441744159029561,0.54238,-0.9892561249040441,-0.9944799999999999,-0.14414099302770256,-0.14500000000000002,2.474958348612928e-18,0.007914999999999998
288.0,1.924003098204112,0.0,0.0,4.020934578336511,0.0,0.40209345783365114,1.913479542564287,0.5444216483891441,0.54274,-0.989353600054798,-0.99469,-0.14349175996949706,-0.144765,4.529984543029613e-19,0.00819
289.0,1.9230630313727455,0.0,0.0,4.019413043265581,0.0,0.401941304326558,1.9126774611788624,0.5446665930245832,0.54287,-0.9894494906207308,-0.993825,-0.1428500990926887,-0.14404,-3.333022683082396e-19,0.0077
290.0,1.9221346879891548,0.0,0.0,4.0178973367138395,0.0,0.40178973367138393,1.9118851191362876,0.5449092854242891,0.543,-0.9895438303953814,-0.9939100000000001,-0.14221589011433497,-0.14375,-4.958633331631936e-19,0.0075049999999999995
291.0,1.921217865929248,0.0,0.0,4.016387416370862,0.0,0.40163874163708624,1.9111023531722573,0.5451497604540979,0.54376,-0.9896366522880067,-0.994605,-0.14158901518078582,-0.14262999999999998,-1.9292172119230035e-18,0.007925
292.0,1.9203123675554132,0.0,0.0,4.014883240377436,0.0,0.4014883240377436,1.9103290035330698,0.5453880522503168,0.54375,-0.9897279883508864,-0.994515,-0.1409693588080057,-0.14184,-5.009041624429442e-19,0.007904999999999999
293.0,1.9194179995941145,0.0,0.0,4.0133847673192165,0.0,0.40133847673192163,1.9095649138830428,0.5456241942387723,0.5436,-0.9898178698056592,-0.994675,-0.14035680782362348,-0.141525,1.9916160633589607e-18,0.0075
294.0,1.9185345730174617,0.0,0.0,4.011891956220499,0.0,0.4011891956220498,1.9088099312148308,0.5458582191532529,0.54421,-0.9899063270687273,-0.994985,-0.13975125131065466,-0.14079000000000003,-1.6026368770268438e-18,0.007605000000000001
295.0,1.9176619029285964,0.0,0.0,4.010404766538106,0.0,0.40104047665381065,1.9080639057625344,0.5460901590533869,0.54457,-0.9899933897757671,-0.99499,-0.13915258055283522,-0.14040999999999998,-1.886017747339238e-19,0.00792
296.0,1.9167998084507611,0.0,0.0,4.008923158155367,0.0,0.40089231581553675,1.9073266909175026,0.5463200453419697,0.54483,-0.9900790868053833,-0.9952350000000001,-0.1385606889815184,-0.140065,-1.0655862661374386e-18,0.007594999999999999
297.0,1.915948112619906,0.0,0.0,4.007447091376212,0.0,0.4007447091376212,1.9065981431467327,0.546547908781753,0.54541,-0.990163446301935,-0.99493,-0.13797547212408107,-0.13954,-3.385641881225357e-20,0.007315
298.0,1.9151066422807088,0.0,0.0,4.005976526919364,0.0,0.4005976526919363,1.9058781219137724,0.546773779511728,0.54577,-0.9902464956975757,-0.9953400000000001,-0.13739682755379107,-0.138745,-2.3203986569756287e-18,0.007145
299.0,1.9142752279858761,0.0,0.0,4.004511425912624,0.0,0.40045114259126235,1.9051664896020364,0.5469976870629096,0.54602,-0.9903282617335264,-0.99539,-0.13682465484108713,-0.13777,-1.097830040612482e-19,0.00713
300.0,1.913453703898614,0.0,0.0,4.003051749887267,0.0,0.4003051749887267,1.9044631114404533,0.5472196603736489,0.54596,-0.990408770480621,-0.9950800000000001,-0.136258855506227,-0.13742500000000002,2.145192517275419e-19,0.006885
301.0,1.912641907698141,0.0,0.0,4.001597460772522,0.0,0.40015974607725213,1.9037678554313588,0.5474397278044753,0.54553,-0.9904880473591496,-0.99558,-0.1356993329732567,-0.136745,1.196676286978024e-18,0.00689
302.0,1.9118396804881466,0.0,0.0,4.000148520890148,0.0,0.4000148520890148,1.903080592280557,0.5476579171525078,0.54571,-0.990566117158022,-0.996205,-0.13514599252526197,-0.13605,4.0829875491209604e-20,0.007125
303.0,1.9110468667080764,0.0,0.0,3.9987048929491054,0.0,0.39987048929491054,1.9024011953294746,0.5478742556654246,0.54594,-0.9906430040532893,-0.99557,-0.13459874126085827,-0.135815,9.927220578810779e-19,0.006985
304.0,1.910263314047152,0.0,0.0,3.9972665400403127,0.0,0.3997266540040313,1.901729540489338,0.5480887700550291,0.54631,-0.99071873162603,-0.995725,-0.13405748805188117,-0.13542500000000002,1.523700899927151e-20,0.006815
305.0,1.9094888733610222,0.0,0.0,3.995833425631494,0.0,0.39958334256314937,1.9010655061772959,0.5483014865104082,0.54648,-0.9907933228796447,-0.995975,-0.13352214350223857,-0.13467,-2.175495490676675e-19,0.006425
306.0,1.9087233985909557,0.0,0.0,3.9944055135621097,0.0,0.399440551356211,1.9004089732544318,0.548512430710707,0.54704,-0.9908668002565681,-0.9954700000000001,-0.1329926199078887,-0.13419999999999999,-5.646616205745932e-19,0.00695
307.0,1.9079667466854826,0.0,0.0,3.9929827680383774,0.0,0.3992982768038377,1.8997598249655907,0.5487216278375352,0.54762,-0.9909391856544244,-0.99593,-0.13246883121790534,-0.133835,2.0492852520431245e-18,0.00707
308.0,1.9072187775244,0.0,0.0,3.9915651536283656,0.0,0.3991565153628366,1.8991179468809658,0.5489291025870043,0.54744,-0.9910105004416504,-0.99624,-0.13195069299660203,-0.133415,-1.6185757447889962e-18,0.0068850000000000005
309.0,1.906479353845061,0.0,0.0,3.990152635257183,0.0,0.3990152635257183,1.8984832268393834,0.5491348791814253,0.54739,-0.9910807654725985,-0.995835,-0.13143812238667682,-0.133045,-1.1796423809239251e-18,0.006710000000000001
