Baseline 100%T,,5%,,10%,,15%,,A,,A!,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
969,0.2246862352,969,2.641148329,969,2.582958221,969,2.615397215,969,0.1892071515,969,0.1772340834,
968,0.2247548103,968,2.620101452,968,2.596046448,968,2.575416088,968,0.1883468181,968,0.1765490025,
967,0.2248774469,967,2.660320997,967,2.621574402,967,2.604489565,967,0.1842689961,967,0.1724459082,
966,0.2249871939,966,2.63837862,966,2.591512442,966,2.619639397,966,0.1786742359,966,0.1667557806,
965,0.225096643,965,2.660657644,965,2.625906944,965,2.637526274,965,0.1730298698,965,0.160871163,
964,0.225235194,964,2.602984428,964,2.645918369,964,2.663416386,964,0.1679790467,964,0.1558416486,
963,0.225360781,963,2.672147512,963,2.635077238,963,2.627174139,963,0.1649437398,963,0.1526637673,
962,0.2255536765,962,2.665096045,962,2.645492792,962,2.63177824,962,0.1635926515,962,0.1513193697,
961,0.2256881446,961,2.602548122,961,2.636939287,961,2.666677713,961,0.1635055095,961,0.1513050646,
960,0.2259445488,960,2.624504089,960,2.633240223,960,2.619013548,960,0.1637226045,960,0.1515683979,
959,0.2260206938,959,2.618075848,959,2.6574893,959,2.618663549,959,0.1643347144,959,0.1520390064,
958,0.226081714,958,2.61353898,958,2.649935007,958,2.659930706,958,0.1646770835,958,0.1522993594,
957,0.2262854427,957,2.549031019,957,2.632005692,957,2.626131535,957,0.1645460874,957,0.1525674909,
956,0.2265363038,956,2.596536875,956,2.604074001,956,2.632740736,956,0.1644950509,956,0.1524577141,
955,0.2265495211,955,2.558820248,955,2.576336145,955,2.586301327,955,0.1646552235,955,0.1526565105,
954,0.22677131,954,2.547492266,954,2.606680155,954,2.557816505,954,0.1648497432,954,0.1527796239,
953,0.2269932926,953,2.548786402,953,2.593227386,953,2.637090683,953,0.1650878787,953,0.1528452933,
952,0.2272507697,952,2.552736759,952,2.591231823,952,2.57886529,952,0.1655484736,952,0.1534362286,
951,0.2272857577,951,2.490286589,951,2.570752621,951,2.55278945,951,0.1665328443,951,0.1545421481,
950,0.2274983972,950,2.459962368,950,2.568534613,950,2.612909555,950,0.1681984663,950,0.1560844928,
949,0.2277226299,949,2.448958635,949,2.566237688,949,2.599091291,949,0.1702549607,949,0.1582948267,
948,0.2279937118,948,2.455687046,948,2.552590847,948,2.549100876,948,0.1731975824,948,0.1612582952,
947,0.2280870974,947,2.437408924,947,2.507912636,947,2.557354689,947,0.1777461022,947,0.1657976806,
946,0.2283379585,946,2.390794992,946,2.513242245,946,2.528742313,946,0.1834809333,946,0.1716803908,
945,0.2284912616,945,2.341046572,945,2.476861954,945,2.550093412,945,0.1904511303,945,0.1786421388,
944,0.2288239896,944,2.295372009,944,2.484858513,944,2.533937693,944,0.1977518201,944,0.1862175167,
943,0.2289327234,943,2.275693417,943,2.45386672,943,2.498129368,943,0.2054073215,943,0.1937158108,
942,0.2291688025,942,2.220281601,942,2.432100534,942,2.509480238,942,0.2111987472,942,0.1998090893,
941,0.229401499,941,2.188883305,941,2.439293861,941,2.472574234,941,0.2154223025,941,0.2038137615,
940,0.2296609432,940,2.143729448,940,2.424772739,940,2.480056286,940,0.2168918401,940,0.2053723037,
939,0.22996445,939,2.086399317,939,2.397683382,939,2.467535496,939,0.2162933052,939,0.2046778649,
938,0.2302227765,938,2.029292583,938,2.39781785,938,2.457859993,938,0.2140919715,938,0.202552259,
937,0.230411455,937,1.954380155,937,2.366164684,937,2.476867914,937,0.2107532024,937,0.1993050575,
936,0.2307771742,936,1.899538755,936,2.320600033,936,2.446764946,936,0.2067526579,936,0.1954259425,
935,0.2310805023,935,1.82658565,935,2.295627356,935,2.430281639,935,0.2027676105,935,0.1913271397,
934,0.231281057,934,1.741099477,934,2.296227932,934,2.426695585,934,0.1995740533,934,0.1879085749,
933,0.2316361815,933,1.64955163,933,2.270117283,933,2.414554119,933,0.1968439519,933,0.1852140129,
932,0.2318583727,932,1.557477236,932,2.237115622,932,2.379723072,932,0.1947530955,932,0.1832625419,
931,0.2320717573,931,1.453894734,931,2.188205242,931,2.343423843,931,0.193178013,931,0.1817262322,
930,0.2323111445,930,1.343791008,930,2.146089554,930,2.359116793,930,0.1918184459,930,0.18011868,
929,0.2327200919,929,1.223255515,929,2.109857321,929,2.312968016,929,0.190070793,929,0.1785352826,
928,0.233030349,928,1.093166828,928,2.063062429,928,2.259071589,928,0.1883555651,928,0.17672804,
927,0.2333216816,927,0.9637643695,927,1.996312737,927,2.242428303,927,0.1860067993,927,0.1744455397,
926,0.2336969674,926,0.8370460868,926,1.932067752,926,2.183204651,926,0.1836635172,926,0.1720208824,
925,0.2340489626,925,0.7163043618,925,1.85458684,925,2.137664557,925,0.1811051667,925,0.1691898108,
924,0.2342538834,924,0.6120328307,924,1.780620813,924,2.086465597,924,0.1785373241,924,0.1665760577,
923,0.2347965688,923,0.5284074545,923,1.698711038,923,2.008741379,923,0.176007539,923,0.1642239541,
922,0.2352547646,922,0.458937794,922,1.610658169,922,1.962156534,922,0.1746234745,922,0.162835747,
921,0.2355305552,921,0.4092285633,921,1.525093198,921,1.897702456,921,0.1739652157,921,0.1622671336,
920,0.2359521836,920,0.3760471046,920,1.435425043,920,1.834082007,920,0.1741351783,920,0.1623663306,
919,0.2362835705,919,0.3583699167,919,1.330664158,919,1.754632473,919,0.1752875,919,0.1633974612,
918,0.2367051691,918,0.3569474816,918,1.213935375,918,1.670168519,918,0.1764198691,918,0.1646048576,
917,0.237205565,917,0.3680414855,917,1.086500406,917,1.563964367,917,0.1772634089,917,0.165621236,
916,0.2377792299,916,0.38945508,916,0.9525477886,916,1.452317238,916,0.1780135334,916,0.1664124429,
915,0.2382723987,915,0.4183502197,915,0.8184981942,915,1.318687916,915,0.1782669574,915,0.1666609347,
914,0.2386564612,914,0.4530099928,914,0.693241179,914,1.18589592,914,0.1778421104,914,0.1662284285,
913,0.2390861213,913,0.4918427169,913,0.5789904594,913,1.046505928,913,0.1763221473,913,0.1647589058,
912,0.2395483702,912,0.5294353366,912,0.4789391756,912,0.91469872,912,0.174228847,912,0.1625635028,
911,0.2402282655,911,0.5633636713,911,0.3981092274,911,0.7944006324,911,0.1714567393,911,0.1598662436,
910,0.2407607287,910,0.5930818319,910,0.3329795897,910,0.6900232434,910,0.1688283533,910,0.1573114842,
909,0.2412946075,909,0.6159895658,909,0.2832700312,909,0.5991711617,909,0.1663115621,909,0.154722169,
908,0.2418728322,908,0.6316800714,908,0.2476098537,908,0.5217889547,908,0.1638128161,908,0.1520168185,
907,0.242494449,907,0.6411934495,907,0.2267521024,907,0.4597910643,907,0.1616915911,907,0.1499473602,
906,0.2432150543,906,0.6446742415,906,0.2181155384,906,0.4098654985,906,0.1596687138,906,0.1478321999,
905,0.2438895106,905,0.6421760917,905,0.2208974659,905,0.3735272884,905,0.1581931263,905,0.1462685466,
904,0.2447713763,904,0.6350334287,904,0.2323031873,904,0.3510422707,904,0.1570505947,904,0.1453422457,
903,0.2453911752,903,0.6234580278,903,0.2512842715,903,0.3385822177,903,0.1562263817,903,0.1446017325,
902,0.2461124212,902,0.6065668464,902,0.2754663825,902,0.3357911706,902,0.1554583162,902,0.1437726468,
901,0.2469584346,901,0.5865712166,901,0.3030031621,901,0.3419816494,901,0.1547216475,901,0.1431211233,
900,0.2475870997,900,0.5616931319,900,0.3329056501,900,0.354980737,900,0.1543643475,900,0.1427264512,
899,0.2484886646,899,0.5341668725,899,0.3617525697,899,0.373824954,899,0.1538538933,899,0.142110467,
898,0.2495251596,898,0.5051065683,898,0.3867296278,898,0.3959762752,898,0.1531204134,898,0.1416113973,
897,0.250333637,897,0.4744677544,897,0.4078371227,897,0.4205387533,897,0.15288876,897,0.1413129568,
896,0.2513071597,896,0.4430311918,896,0.4227589965,896,0.4449214935,896,0.1525163054,896,0.1408443749,
895,0.2521168292,895,0.4125331342,895,0.4314405322,895,0.4681026042,895,0.1521814167,895,0.1404264122,
894,0.2529259026,894,0.3814280331,894,0.4342032969,894,0.4892517328,894,0.1519742459,894,0.1402785331,
893,0.2541175485,893,0.352145195,893,0.4306394756,893,0.5055456161,893,0.1515813917,893,0.1399836242,
892,0.2552390695,892,0.3261646926,892,0.4220322371,892,0.5158005357,892,0.1511503309,892,0.1398187876,
891,0.2562801838,891,0.3028655052,891,0.4083961546,891,0.5208057165,891,0.1512414068,891,0.1395212561,
890,0.2573683262,890,0.2829494178,890,0.3914918602,890,0.5196944475,890,0.1509101093,890,0.1394724697,
889,0.2584459782,889,0.2662611902,889,0.3705931008,889,0.5129774213,889,0.1507617384,889,0.1391510516,
888,0.2595190406,888,0.2536161244,888,0.3470594287,888,0.5014472008,888,0.1507436484,888,0.1391197443,
887,0.2610220015,887,0.2440496385,887,0.3211288154,887,0.4843839109,887,0.1503343135,887,0.1389351338,
886,0.2620315552,886,0.2391927838,886,0.2946445644,886,0.464540422,886,0.1504855752,886,0.1388459206,
885,0.2634170651,885,0.2377162576,885,0.2688792348,885,0.4423896968,885,0.1501890272,885,0.138805449,
884,0.2647504508,884,0.2397763133,884,0.2425072491,884,0.41757375,884,0.1501446813,884,0.138623327,
883,0.2660423219,883,0.2447031587,883,0.2177097648,883,0.3915838301,883,0.1498783082,883,0.1382808387,
882,0.2674322426,882,0.2521648705,882,0.195152089,882,0.3664665818,882,0.1497864574,882,0.1382549554,
881,0.2687936127,881,0.2620244622,881,0.1739878207,881,0.3400814235,881,0.1496456265,881,0.1382631063,
880,0.2702313066,880,0.273727715,880,0.1559591442,880,0.3158817291,880,0.149266988,880,0.1381102353,
879,0.2716553807,879,0.2867458761,879,0.1414240152,879,0.2935540378,879,0.149493888,879,0.1381193548,
878,0.2731959224,878,0.3002279699,878,0.1295628548,878,0.2736453116,878,0.1492902488,878,0.1380508244,
877,0.2745955288,877,0.3140052259,877,0.1205819622,877,0.2559719682,877,0.1492096484,877,0.1379190534,
876,0.2763125896,876,0.3278811574,876,0.1146503016,876,0.2412298322,876,0.1489992142,876,0.1378934085,
875,0.277934432,875,0.3412757516,875,0.1116503179,875,0.2287551165,875,0.1489074826,875,0.1376269013,
874,0.2795740068,874,0.3533617556,874,0.1115940884,874,0.2194158882,874,0.1486950368,874,0.1375114173,
873,0.2812418044,873,0.3639610708,873,0.1142881066,873,0.2137568295,873,0.148883,873,0.1376350373,
872,0.2830542028,872,0.3728457093,872,0.1187383756,872,0.2103385329,872,0.1486125439,872,0.1374536604,
871,0.2846486866,871,0.3796244562,871,0.1252658814,871,0.2099053264,871,0.1485386342,871,0.1373534203,
870,0.2865088284,870,0.3845934272,870,0.1334126592,870,0.2120261788,870,0.1483451277,870,0.1373161376,
869,0.288233459,869,0.3869897723,869,0.1427798867,869,0.2159567177,869,0.1482501477,869,0.1372540295,
868,0.289850384,868,0.3876564205,868,0.1534855366,868,0.2225889713,868,0.1483109295,868,0.1372626126,
867,0.2919313312,867,0.3857063949,867,0.1641241014,867,0.230380699,867,0.1485529542,867,0.1372685134,
866,0.2937626541,866,0.3819340169,866,0.1745715737,866,0.2389309108,866,0.1486846507,866,0.1373904645,
865,0.2954606116,865,0.3762337267,865,0.184694618,865,0.24851197,865,0.1484484076,865,0.1372599602,
864,0.2975515425,864,0.3683187664,864,0.1942122281,864,0.258477807,864,0.1484659761,864,0.137329489,
863,0.299360007,863,0.3595166206,863,0.2024831474,863,0.2683915198,863,0.1484997571,863,0.1374741942,
862,0.3010112643,862,0.3495296836,862,0.2097892016,862,0.2785839438,862,0.1487240493,862,0.1375747025,
861,0.3033667207,861,0.3381558955,861,0.2147467583,861,0.2875801921,861,0.1485820413,861,0.1374057084,
860,0.3052129447,860,0.3270516694,860,0.2181990892,860,0.2951705456,860,0.148690477,860,0.1375589222,
859,0.3071414232,859,0.3159607053,859,0.2196559161,859,0.3016631305,859,0.1485537291,859,0.1374888271,
858,0.3094422221,858,0.3042012155,858,0.2186330259,858,0.3061142266,858,0.1485085338,858,0.1375562549,
857,0.3109609783,857,0.2939884365,857,0.216323927,857,0.3094212413,857,0.1487183273,857,0.1377257854,
856,0.3129143417,856,0.2839407325,856,0.2117541283,856,0.3104354739,856,0.1487769932,856,0.137563616,
855,0.3147764802,855,0.2748627663,855,0.205580458,855,0.3092907369,855,0.1490288377,855,0.1376413405,
854,0.3170097768,854,0.267334491,854,0.1981105655,854,0.3066236377,854,0.1488106102,854,0.1376938671,
853,0.3189274073,853,0.2610577941,853,0.1891483665,853,0.3019379973,853,0.1488984972,853,0.1377450079,
852,0.3205841184,852,0.2561043501,852,0.1797366589,852,0.2959019244,852,0.1489342451,852,0.1379590929,
851,0.3228639364,851,0.2526392639,851,0.1701512635,851,0.2883313894,851,0.1490486115,851,0.137799859,
850,0.324467063,850,0.25095734,850,0.1600007415,850,0.2799470425,850,0.1493073255,850,0.1382316798,
849,0.3261629045,849,0.2503643632,849,0.1501851827,849,0.2708583474,849,0.1494914293,849,0.1382421851,
848,0.3280752897,848,0.2509841919,848,0.1402560771,848,0.2607570291,848,0.1493360996,848,0.1381668448,
847,0.3302512169,847,0.2534301281,847,0.1317345798,847,0.2514396012,847,0.1492468417,847,0.1382313669,
846,0.3318809867,846,0.2571969926,846,0.1236305684,846,0.241929546,846,0.1493346691,846,0.1381473541,
845,0.3338508606,845,0.2616674602,845,0.1166274399,845,0.2328629494,845,0.1495033801,845,0.1382507235,
844,0.3349623978,844,0.2672976255,844,0.1103700325,844,0.2250339985,844,0.1495801508,844,0.1383086592,
843,0.3372265399,843,0.274219662,843,0.1054301187,843,0.2168907225,843,0.1496144235,843,0.1381405592,
842,0.3390436172,842,0.2808374166,842,0.1014736518,842,0.2099920809,842,0.1493913829,842,0.1381371319,
841,0.3402169049,841,0.2884243727,841,0.09914276749,841,0.2048380077,841,0.1497307569,841,0.1384849548,
840,0.341647476,840,0.2960357666,840,0.09802229702,840,0.2004415393,840,0.1498090029,840,0.1384742856,
839,0.3438827097,839,0.3034787476,839,0.09810771793,839,0.1973351389,839,0.1498200446,839,0.1383729875,
838,0.3450942934,838,0.3110912442,838,0.0992102325,838,0.1957852095,838,0.1501267701,838,0.1384455413,
837,0.3465363979,837,0.3183140457,837,0.1013504565,837,0.1950203776,837,0.1498838961,837,0.1383030713,
836,0.3486454487,836,0.3243799508,836,0.1044653878,836,0.195231244,836,0.1496767849,836,0.1383383125,
835,0.3495031595,835,0.3298986256,835,0.1085222661,835,0.1968374252,835,0.1499371976,835,0.1384993494,
834,0.3514484763,834,0.3346787095,834,0.1132764071,834,0.199156478,834,0.1501939893,834,0.1384305507,
833,0.3524395823,833,0.3381972909,833,0.1184305847,833,0.2031776011,833,0.1503482163,833,0.1387320757,
832,0.3537076414,832,0.3405454159,832,0.1240486875,832,0.20729357,832,0.1501484215,832,0.138487637,
831,0.3555020988,831,0.341057688,831,0.1294560581,831,0.2119191438,831,0.1501273066,831,0.1386794895,
830,0.3564431071,830,0.3416477144,830,0.1354757398,830,0.2172327787,830,0.1501251906,830,0.1384267807,
829,0.3584088981,829,0.3398903012,829,0.1409711391,829,0.2230074257,829,0.1500920504,829,0.1383670717,
828,0.3594412804,828,0.3378874063,828,0.1462439001,828,0.2286210805,828,0.1501235813,828,0.1386077553,
827,0.3605093956,827,0.334939599,827,0.1510448009,827,0.2344188839,827,0.1504459679,827,0.1386638284,
826,0.3617384732,826,0.3308838308,826,0.1554996818,826,0.2401894331,826,0.1505847126,826,0.1387560219,
825,0.363455981,825,0.3261156678,825,0.1588316113,825,0.2450858057,825,0.1505891085,825,0.1385811418,
824,0.3642614484,824,0.3208753765,824,0.1616179347,824,0.2499546558,824,0.1506257206,824,0.1388544738,
823,0.3658290207,823,0.3152402341,823,0.1630727053,823,0.2539423406,823,0.1507488191,823,0.1389636546,
822,0.3671911657,822,0.309441328,822,0.1638582945,822,0.2570293844,822,0.1509393156,822,0.1387598664,
821,0.3685026765,821,0.3034249544,821,0.1638496518,821,0.259164989,821,0.1506705433,821,0.138857156,
820,0.3695859015,820,0.2982245088,820,0.1627122015,820,0.2606189251,820,0.1509336382,820,0.1389680058,
819,0.3712283373,819,0.292259872,819,0.1606530249,819,0.2608842552,819,0.1509203762,819,0.1388954371,
818,0.3721626699,818,0.287622273,818,0.1584072858,818,0.2607158124,818,0.1510859132,818,0.1390645802,
817,0.3745550513,817,0.2824943066,817,0.1551581323,817,0.258951962,817,0.151102826,817,0.1388829947,
816,0.3757175207,816,0.2792319655,816,0.151943177,816,0.2572918832,816,0.1511404365,816,0.1391011328,
815,0.3774498701,815,0.2759825587,815,0.1482455879,815,0.2546545267,815,0.151172623,815,0.1393910646,
814,0.3788847923,814,0.2735393643,814,0.1445385367,814,0.2516131103,814,0.1514122486,814,0.1394807398,
813,0.3812519908,813,0.271189779,813,0.140540421,813,0.2477455288,813,0.1510230601,813,0.1392093003,
812,0.3823688626,812,0.2703498304,812,0.1369632035,812,0.2443209738,812,0.1511873603,812,0.1393849254,
811,0.3852232993,811,0.2695852518,811,0.1334142387,811,0.2404885441,811,0.1514748335,811,0.1397860348,
810,0.3871881962,810,0.2695623338,810,0.1301843375,810,0.2367695123,810,0.1514591724,810,0.1396755129,
809,0.3892473876,809,0.2704333365,809,0.1274919957,809,0.2330180854,809,0.151565358,809,0.1397425383,
808,0.3914983869,808,0.2713020146,808,0.1250843108,808,0.2296539545,808,0.1515805125,808,0.1398401111,
807,0.3927783966,807,0.2732329667,807,0.1233111098,807,0.2265921235,807,0.151460126,807,0.1396238059,
806,0.3934674561,806,0.2751714289,806,0.1214715391,806,0.223840341,806,0.1514277309,806,0.1395698339,
805,0.3941113949,805,0.2775230408,805,0.120595254,805,0.2208927423,805,0.1514165103,805,0.1397754997,
804,0.3948382735,804,0.2803066671,804,0.1202749535,804,0.219227761,804,0.151492849,804,0.1397243589,
803,0.3956356645,803,0.2834379375,803,0.1201971099,803,0.217568174,803,0.1515507549,803,0.1395664364,
802,0.3964956999,802,0.2866421342,802,0.1209364533,802,0.2164506018,802,0.1517458707,802,0.1398129314,
801,0.3974848092,801,0.2896625102,801,0.1219806075,801,0.215917021,801,0.1515969187,801,0.1397087127,
800,0.3985666931,800,0.2926724553,800,0.1232707128,800,0.2155586183,800,0.1515983939,800,0.1398785412,
799,0.259106487,,,,,,,,,,,

Baseline 100%T,
Baseline 100%T
Collection Time: 5/22/2026 3:30:29 PM
Operator Name  :
Scan Version 6.2.0.1588
Parameter List :
Instrument  Cary 7000
Instrument Version  2.24
Method Log     :
Method Name    :
Date/Time stamp: 5/20/2026 11:21:14 AM
Method Modifications:
X Start nm Changed: 5/22/2026 3:29:30 PM, Old:800.000, New:1200.000
X Stop nm Changed: 5/22/2026 3:29:30 PM, Old:200.000, New:800.000
UVVIS Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
NIR Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
SBW Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
NIR slit width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Common Slit Width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Slit Height Changed: 5/22/2026 3:29:30 PM, Old:Full, New:Reduced
Baseline Correction Changed: 5/22/2026 3:29:30 PM, Old:0, New:1
Sipper Type Changed: 5/22/2026 3:29:30 PM, Old:Internal RSA, New:External sipper
Slit Height Changed: 5/22/2026 3:29:32 PM, Old:Full, New:Reduced
End Method Modifications
<Current Wavelength> , 799.000
<SBW (nm)> , 1.00
<Energy> , 181.97
<Slit Height> , Reduced

5%,
5%
Collection Time: 5/22/2026 3:34:22 PM
Operator Name  :
Scan Version 6.2.0.1588
Parameter List :
Instrument  Cary 7000
Instrument Version  2.24
Method Log     :
Method Name    :
Date/Time stamp: 5/20/2026 11:21:14 AM
Method Modifications:
X Start nm Changed: 5/22/2026 3:29:30 PM, Old:800.000, New:1200.000
X Stop nm Changed: 5/22/2026 3:29:30 PM, Old:200.000, New:800.000
UVVIS Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
NIR Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
SBW Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
NIR slit width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Common Slit Width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Slit Height Changed: 5/22/2026 3:29:30 PM, Old:Full, New:Reduced
Baseline Correction Changed: 5/22/2026 3:29:30 PM, Old:0, New:1
Sipper Type Changed: 5/22/2026 3:29:30 PM, Old:Internal RSA, New:External sipper
Slit Height Changed: 5/22/2026 3:29:32 PM, Old:Full, New:Reduced
Saved as C:\Users\AgilentUMS\Desktop\DATA\Aidas\YbYag_ABS_05.22
End Method Modifications
<Current Wavelength> , 800.000
<SBW (nm)> , 1.00
<Energy> , 3.00
<Slit Height> , Reduced

10%,
10%
Collection Time: 5/22/2026 3:36:56 PM
Operator Name  :
Scan Version 6.2.0.1588
Parameter List :
Instrument  Cary 7000
Instrument Version  2.24
Method Log     :
Method Name    :
Date/Time stamp: 5/20/2026 11:21:14 AM
Method Modifications:
X Start nm Changed: 5/22/2026 3:29:30 PM, Old:800.000, New:1200.000
X Stop nm Changed: 5/22/2026 3:29:30 PM, Old:200.000, New:800.000
UVVIS Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
NIR Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
SBW Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
NIR slit width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Common Slit Width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Slit Height Changed: 5/22/2026 3:29:30 PM, Old:Full, New:Reduced
Baseline Correction Changed: 5/22/2026 3:29:30 PM, Old:0, New:1
Sipper Type Changed: 5/22/2026 3:29:30 PM, Old:Internal RSA, New:External sipper
Slit Height Changed: 5/22/2026 3:29:32 PM, Old:Full, New:Reduced
Saved as C:\Users\AgilentUMS\Desktop\DATA\Aidas\YbYag_ABS_05.22
End Method Modifications
<Current Wavelength> , 800.000
<SBW (nm)> , 1.00
<Energy> , 3.00
<Slit Height> , Reduced

15%,
15%
Collection Time: 5/22/2026 3:39:44 PM
Operator Name  :
Scan Version 6.2.0.1588
Parameter List :
Instrument  Cary 7000
Instrument Version  2.24
Method Log     :
Method Name    :
Date/Time stamp: 5/20/2026 11:21:14 AM
Method Modifications:
X Start nm Changed: 5/22/2026 3:29:30 PM, Old:800.000, New:1200.000
X Stop nm Changed: 5/22/2026 3:29:30 PM, Old:200.000, New:800.000
UVVIS Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
NIR Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
SBW Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
NIR slit width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Common Slit Width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Slit Height Changed: 5/22/2026 3:29:30 PM, Old:Full, New:Reduced
Baseline Correction Changed: 5/22/2026 3:29:30 PM, Old:0, New:1
Sipper Type Changed: 5/22/2026 3:29:30 PM, Old:Internal RSA, New:External sipper
Slit Height Changed: 5/22/2026 3:29:32 PM, Old:Full, New:Reduced
Saved as C:\Users\AgilentUMS\Desktop\DATA\Aidas\YbYag_ABS_05.22
End Method Modifications
<Current Wavelength> , 800.000
<SBW (nm)> , 1.00
<Energy> , 3.00
<Slit Height> , Reduced

A,
A
Collection Time: 5/22/2026 3:42:32 PM
Operator Name  :
Scan Version 6.2.0.1588
Parameter List :
Instrument  Cary 7000
Instrument Version  2.24
Method Log     :
Method Name    :
Date/Time stamp: 5/20/2026 11:21:14 AM
Method Modifications:
X Start nm Changed: 5/22/2026 3:29:30 PM, Old:800.000, New:1200.000
X Stop nm Changed: 5/22/2026 3:29:30 PM, Old:200.000, New:800.000
UVVIS Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
NIR Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
SBW Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
NIR slit width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Common Slit Width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Slit Height Changed: 5/22/2026 3:29:30 PM, Old:Full, New:Reduced
Baseline Correction Changed: 5/22/2026 3:29:30 PM, Old:0, New:1
Sipper Type Changed: 5/22/2026 3:29:30 PM, Old:Internal RSA, New:External sipper
Slit Height Changed: 5/22/2026 3:29:32 PM, Old:Full, New:Reduced
Saved as C:\Users\AgilentUMS\Desktop\DATA\Aidas\YbYag_ABS_05.22
End Method Modifications
<Current Wavelength> , 800.000
<SBW (nm)> , 1.00
<Energy> , 3.00
<Slit Height> , Reduced

A!,
A!
Collection Time: 5/22/2026 3:44:42 PM
Operator Name  :
Scan Version 6.2.0.1588
Parameter List :
Instrument  Cary 7000
Instrument Version  2.24
Method Log     :
Method Name    :
Date/Time stamp: 5/20/2026 11:21:14 AM
Method Modifications:
X Start nm Changed: 5/22/2026 3:29:30 PM, Old:800.000, New:1200.000
X Stop nm Changed: 5/22/2026 3:29:30 PM, Old:200.000, New:800.000
UVVIS Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
NIR Scan Rate nm Changed: 5/22/2026 3:29:30 PM, Old:  602.007, New:  600.000
SBW Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
NIR slit width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Common Slit Width Changed: 5/22/2026 3:29:30 PM, Old:2.000, New:1.000
Slit Height Changed: 5/22/2026 3:29:30 PM, Old:Full, New:Reduced
Baseline Correction Changed: 5/22/2026 3:29:30 PM, Old:0, New:1
Sipper Type Changed: 5/22/2026 3:29:30 PM, Old:Internal RSA, New:External sipper
Slit Height Changed: 5/22/2026 3:29:32 PM, Old:Full, New:Reduced
Saved as C:\Users\AgilentUMS\Desktop\DATA\Aidas\YbYag_ABS_05.22
End Method Modifications
<Current Wavelength> , 800.000
<SBW (nm)> , 1.00
<Energy> , 3.00
<Slit Height> , Reduced

