Baseline 100%T,,5%,,10%,,15%,,A,,A!,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1155,0.2180476636,1155,2.319424629,1155,1.844842196,1155,1.719842553,1155,0.1455375701,1155,0.1327774972,
1154,0.2180967629,1154,2.351783991,1154,1.885654569,1154,1.76881659,1154,0.1452289969,1154,0.1327247918,
1153,0.218061775,1153,2.358101845,1153,1.917564273,1153,1.811570525,1153,0.1453601867,1153,0.1327577531,
1152,0.218102023,1152,2.395995855,1152,1.96209085,1152,1.863353133,1152,0.145021677,1152,0.1327039152,
1151,0.2181071639,1151,2.408135176,1151,1.986928821,1151,1.897875547,1151,0.1451969892,1151,0.1327213794,
1150,0.2180767953,1150,2.415758848,1150,2.038630009,1150,1.937487125,1150,0.1452951878,1150,0.1326553226,
1149,0.2181381732,1149,2.443047047,1149,2.07489419,1149,1.977901101,1149,0.1452602893,1149,0.1327863932,
1148,0.2179907858,1148,2.433053017,1148,2.091461658,1148,2.015372515,1148,0.1452964842,1148,0.1331018507,
1147,0.2180852145,1147,2.492536783,1147,2.137288094,1147,2.053774118,1147,0.1450336426,1147,0.1327293217,
1146,0.2183802277,1146,2.488876581,1146,2.159199953,1146,2.093916655,1146,0.144965753,1146,0.1324406415,
1145,0.2181151211,1145,2.551855803,1145,2.178465128,1145,2.140636921,1145,0.1454368979,1145,0.1327092201,
1144,0.2180891931,1144,2.527139425,1144,2.219431877,1144,2.154457092,1144,0.1451520473,1144,0.1329198182,
1143,0.2180889845,1143,2.557950497,1143,2.249905109,1143,2.184821367,1143,0.1453085393,1143,0.1327020228,
1142,0.2181553692,1142,2.532852411,1142,2.265670776,1142,2.222537279,1142,0.1451063454,1142,0.1326213181,
1141,0.2181357741,1141,2.539149284,1141,2.285052776,1141,2.249442816,1141,0.1452383995,1141,0.1326948851,
1140,0.2179579437,1140,2.561894178,1140,2.318098545,1140,2.266623259,1140,0.145382762,1140,0.1329641491,
1139,0.2182154804,1139,2.632280111,1139,2.339833736,1139,2.289686441,1139,0.14520064,1139,0.1327168196,
1138,0.2182511091,1138,2.611345291,1138,2.402648687,1138,2.3222754,1138,0.1451341063,1138,0.132802844,
1137,0.2182487994,1137,2.603606462,1137,2.377846956,1137,2.359411478,1137,0.145331651,1137,0.1329105794,
1136,0.2182343453,1136,2.632622004,1136,2.412185431,1136,2.366042376,1136,0.1453084648,1136,0.1327756792,
1135,0.2180759311,1135,2.645802259,1135,2.415732384,1135,2.361777544,1135,0.14537853,1135,0.1329653114,
1134,0.2181452662,1134,2.609122515,1134,2.437984467,1134,2.393634796,1134,0.145087719,1134,0.1326656193,
1133,0.2179992497,1133,2.652920961,1133,2.432118654,1133,2.424151182,1133,0.1453146785,1133,0.1327748001,
1132,0.2179570049,1132,2.670411587,1132,2.455878973,1132,2.424483776,1132,0.1453920603,1132,0.1327568442,
1131,0.2180554569,1131,2.654036045,1131,2.494909048,1131,2.461102962,1131,0.1452166289,1131,0.13276577,
1130,0.2181412876,1130,2.642767668,1130,2.528172016,1130,2.443126202,1130,0.1453015208,1130,0.1328910589,
1129,0.2180851251,1129,2.6872859,1129,2.515363216,1129,2.47108531,1129,0.145317331,1129,0.132871002,
1128,0.2183018625,1128,2.6894207,1128,2.526446581,1128,2.526400328,1128,0.1451489329,1128,0.1327053607,
1127,0.2182074785,1127,2.688724279,1127,2.550652981,1127,2.525991201,1127,0.1453541517,1127,0.13293311,
1126,0.2183097452,1126,2.65152669,1126,2.587373018,1126,2.530794859,1126,0.145301193,1126,0.1328083575,
1125,0.2182105482,1125,2.693014145,1125,2.577924013,1125,2.56500864,1125,0.145394668,1125,0.1327177584,
1124,0.218189463,1124,2.6945014,1124,2.570986271,1124,2.569647312,1124,0.1453379393,1124,0.1328484565,
1123,0.2181667089,1123,2.665670156,1123,2.610240221,1123,2.552625179,1123,0.1453393847,1123,0.1327602863,
1122,0.2181984037,1122,2.731795549,1122,2.583306551,1122,2.571208477,1122,0.1452629566,1122,0.1328727901,
1121,0.2181091309,1121,2.745023251,1121,2.62681818,1121,2.586078167,1121,0.1452561617,1121,0.1329053342,
1120,0.2183683217,1120,2.653115034,1120,2.612853765,1120,2.608477592,1120,0.145021826,1120,0.1324584782,
