Long Name,Wavelength,system,PL,Intensity
Units,nm,arb. u.,,arb. u.
Comments,,s0,4K_1mV,4 K
F(x)=,,,C/B*2
1055,1472.75597,1841,2.50007
1055.5,1473.69232,1656,2.24742
1056,1475.4941,1492,2.02237
1056.5,1478.23156,1400,1.89416
1057,1480.38276,1242,1.67794
1057.5,1480.97739,1124,1.51792
1058,1482.68107,1116,1.50538
1058.5,1485.39116,1065,1.43397
1059,1486.9593,1021,1.37327
1059.5,1487.69627,873,1.17363
1060,1490.37696,872,1.17017
1060.5,1492.5044,864,1.15779
1061,1494.32102,844,1.12961
1061.5,1494.95792,862,1.15321
1062,1496.32518,875,1.16953
1062.5,1498076,842,1.12411
1063,1500.59345,811,1.08091
1063.5,1502.13862,689,0.91736
1064,1504.24202,664,0.88284
1064.5,1504.81482,666,0.88516
1065,1506.50293,665,0.88284
1065.5,1508.08785,664,0.88059
1066,1509.81351,687,0.91005
1066.5,1511.61034,697,0.9222
1067,1513.65288,678,0.89585
1067.5,1514.71962,654,0.86353
1068,1517.04447,677,0.89252
1068.5,1518.56763,665,0.87583
1069,1519.95223,669,0.88029
1069.5,1522.24706,668,0.87765
1070,1524.54376,681,0.89338
1070.5,1526.80732,643,0.84228
1071,1528.40756,650,0.85056
1071.5,1530.60449,640,0.83627
1072,1532.06743,643,0.83939
1072.5,1533.98722,631,0.82269
1073,1536.75015,676,0.87978
1073.5,1538.42785,649,0.84372
1074,1540.01948,653,0.84804
1074.5,1543.2128,641,0.83073
1075,1544.79357,626,0.81046
1075.5,1546.44652,630,0.81477
1076,1548.41805,620,0.80082
1076.5,1550.14551,624,0.80509
1077,1552.40334,577,0.74336
1077.5,1554.52288,498,0.64071
1078,1556.18652,502,0.64517
1078.5,1558.45197,477,0.61215
1079,1559.59035,485,0.62196
1079.5,1562.35507,494,0.63238
1080,1564.59289,470,0.6008
1080.5,1565.94917,475,0.60666
1081,1568.36874,480,0.6121
1081.5,1570.8266,492,0.62642
1082,1572.43705,461,0.58635
1082.5,1574.36849,451,0.57293
1083,1575.52182,434,0.55093
1083.5,1576.64103,449,0.56957
1084,1578.61397,448,0.56759
1084.5,1581.40663,446,0.56405
1085,1582.53138,438,0.55354
1085.5,1584.86719,451,0.56913
1086,1586.88539,433,0.54572
1086.5,1588.7279,440,0.5539
1087,1591.24985,434,0.54548
1087.5,1593.23986,451,0.56614
1088,1594.73264,361,0.45274
1088.5,1597.29847,390,0.48832
1089,1599.33144,345,0.43143
1089.5,1601.68861,365,0.45577
1090,1603.15431,390,0.48654
1090.5,1605.05131,317,395
1091,1607.05804,315,0.39202
1091.5,1608.35044,296,0.36808
1092,1610.54089,319,0.39614
1092.5,1613631,306,0.37927
1093,1616.00679,300,0.37129
1093.5,1617.95438,313,0.38691
1094,1619.86837,317,0.39139
1094.5,1622.57597,293,0.36115
1095,1624.02722,305,0.37561
1095.5,1626.9567,295,0.36264
1096,1628.6646,260,0.31928
1096.5,1631.38412,261,0.31997
1097,1633.49363,275,0.3367
1097.5,1635.10033,1828,2.23595
1098,1637.25079,264,0.32249
1098.5,1639.87373,280,0.34149
1099,1641.08943,,--
1099.5,1643.97121,,--
1100,1645.44435,,--
1100.5,1647.13668,,--
1101,1649.26612,,--
1101.5,1650.92657,,--
1102,1653.4602,,--
1102.5,1654.72574,,--
1103,1656.28356,,--
1103.5,1656.31599,,--
1104,1659.84156,,--
1104.5,1661.76947,,--
1105,1665.30272,,--
1105.5,1666.21565,,--
1106,1667.34856,,--
1106.5,1669.50482,,--
1107,1672.46718,,--
1107.5,1673.82528,,--
1108,1675.11193,,--
1108.5,1677.05876,,--
1109,1679.63036,,--
1109.5,1683.15761,,--
1110,1684.96638,,--
1110.5,1687.47428,,--
1111,1689.39806,,--
1111.5,1691.17732,,--
1112,1693.9142,,--
1112.5,1694.77922,,--
1113,1697.11701,,--
1113.5,1699.27362,,--
1114,1702.64855,,--
1114.5,1704.99558,,--
1115,1707.67747,,--
1115.5,1709.36622,,--
1116,1711.61101,,--
1116.5,1713.89555,,--
1117,1717.18127,,--
1117.5,1719.65712,,--
1118,1722.76543,,--
1118.5,1724.32173,,--
1119,1726.88081,,--
1119.5,1728.36745,,--
1120,1730.96937,,--
1120.5,1734.28015,,--
1121,1736.70323,,--
1121.5,1739.46399,,--
1122,1741.52127,,--
1122.5,1743.61837,,--
1123,1744.71224,,--
1123.5,1746.36665,,--
1124,1749.51516,,--
1124.5,1751.51058,,--
1125,1752.61217,,--
1125.5,1754.87365,,--
1126,1757.21276,,--
1126.5,1760.71479,,--
1127,1763.21031,,--
1127.5,1765.85884,,--
1128,1767.53599,,--
1128.5,1769.96552,,--
1129,1772.13537,,--
1129.5,1774.60844,,--
1130,1777.31015,,--
1130.5,1778.36053,,--
1131,1780.69172,,--
1131.5,1783.92961,,--
1132,1785.85282,,--
1132.5,1787.25062,,--
1133,1789.29157,,--
1133.5,1791.78813,,--
1134,1794.06121,,--
1134.5,1795.5812,,--
1135,1797.33006,,--
1135.5,1799.68672,,--
1136,1802.4251,,--
1136.5,1804.93959,,--
1137,1807.57106,,--
1137.5,1809.75056,,--
1138,1812.08472,,--
1138.5,1812.06632,,--
1139,1814.97521,,--
1139.5,1816.82267,,--
1140,1821.37517,,--
1140.5,1824.7908,,--
1141,1826.00016,,--
1141.5,1828.81293,,--
1142,1831.2095,,--
1142.5,1833.26547,,--
1143,1834.1777,,--
1143.5,1834.4793,,--
1144,1837.15354,,--
1144.5,1839.71637,,--
1145,1840.29031,,--
1145.5,1842.43677,,--
1146,1845.35323,,--
1146.5,1846.73803,,--
1147,1848.31667,,--
1147.5,1850.12797,,--
1148,1851.48009,,--
1148.5,1852.48759,,--
1149,1855.26787,,--
1149.5,1857.66641,,--
1150,1858.8727,,--
1150.5,1861.62396,,--
1151,1862.91161,,--
1151.5,1864.54866,,--
1152,1864.95069,,--
1152.5,1867.17149,,--
1153,1868.62095,,--
1153.5,1869.83989,,--
1154,1872.02946,,--
1154.5,1873.71767,,--
1155,1878.0085,,--
1155.5,1877.37256,,--
1156,1879.76711,,--
1156.5,1879.67593,,--
1157,1881.25793,,--
1157.5,1883.38716,,--
1158,1884.62299,,--
1158.5,1885.43154,,--
1159,1886.78739,,--
1159.5,1889.00394,,--
1160,1890.83273,,--
1160.5,1890.82654,,--
1161,1892.34599,,--
1161.5,1894.14145,,--
1162,1894.80333,,--
1162.5,1896446,,--
1163,1898.32618,,--
1163.5,1900.99381,,--
1164,1903.23295,,--
1164.5,1904.57114,,--
1165,1905.28189,,--
1165.5,1905.83617,,--
1166,1905.40672,,--
1166.5,1907.85324,,--
1167,1908.41033,,--
1167.5,1909.67839,,--
1168,1910.94813,,--
1168.5,1912.21957,,--
1169,1913.49269,,--
1169.5,1915.44007,,--
1170,1916.87539,,--
1170.5,1918.11456,,--
1171,1919.95,,--
1171.5,1922.42258,,--
1172,1924.66029,,--
1172.5,1926.02714,,--
1173,1926.99835,,--
1173.5,1927.57312,,--
1174,1928.86506,,--
1174.5,1930.15875,,--
1175,1930.85635,,--
1175.5,1932.51204,,--
1176,1933.17226,,--
1176.5,1934.35251,,--
1177,1935.73416,,--
1177.5,1937.7175,,--
1178,1939.26335,,--
1178.5,1940.57102,,--
1179,1941.59997,,--
1179.5,1942.67041,,--
1180,1943.70217,,--
1180.5,1945.81939,,--
1181,1947.13593,,--
1181.5,1948.45424,,--
1182,1949.77435,,--
1182.5,1950.49234,,--
1183,1949.84157,,--
1183.5,1951.1653,,--
1184,1953.53971,,--
1184.5,1953.81816,,--
1185,1954.70294,,--
1185.5,1955.34638,,--
1186,1953.60406,,--
1186.5,1955.2596,,--
1187,1955.29714,,--
1187.5,1956.63182,,--
1188,1957.96833,,--
1188.5,1959.22549,,--
1189,1958.04731,,--
1189.5,1958.08689,,--
1190,1959.75344,,--
1190.5,1962.80611,,--
1191,1963.29704,,--
1191.5,1964.68531,,--
1192,1965.34135,,--
1192.5,1965.63097,,--
1193,1966.20688,,--
1193.5,1967.5601,,--
1194,1968.71069,,--
1194.5,1969.28992,,--
1195,1969.74708,,--
1195.5,1970.57371,,--
1196,1971.93462,,--
1196.5,1973.33844,,--
1197,1974.45674,,--
1197.5,1975.04234,,--
1198,1975.42314,,--
1198.5,1976.91558,,--
1199,1977.29821,,--
1199.5,1978.67039,,--
1200,1979.46714,,--
1200.5,1981.09034,,--
1201,1981.27046,,--
1201.5,1982.73187,,--
1202,1982.91338,,--
1202.5,1983.38482,,--
1203,1984975,,--
1203.5,1982.5173,,--
1204,1983.96513,,--
1204.5,1983.42338,,--
1205,1985.99405,,--
1205.5,1986.78181,,--
1206,1988.56775,,--
1206.5,1989.06681,,--
1207,1987.65279,,--
1207.5,1987.94377,,--
1208,1987.69366,,--
1208.5,1988.19335,,--
1209,1988.65192,,--
1209.5,1988.98584,,--
