Long Name,Wavelength,system,PL,Intensity
Units,nm,arb. u.,,arb. u.
Comments,,s0,4K_1mV,4 K
F(x)=,,,C/B*2
1210,1989.52886,,--
1210.5,1989.98896,,--
1211,1991.16001,,--
1211.5,1990.28353,,--
1212,1991.41424,,--
1212.5,1991.20668,,--
1213,1992.33921,,--
1213.5,1993.01202,,--
1214,1992.93082,,--
1214.5,1993.0593,,--
1215,1993.94358,,--
1215.5,1994.66085,,--
1216,1995.21083,,--
1216.5,1996.60248,,--
1217,1996.81758,,--
1217.5,1997.20133,,--
1218,1997.88039,,--
1218.5,1996.78999,,--
1219,1997.93349,,--
1219.5,1998.65633,,--
1220,1998.53559,,--
1220.5,1998.54143,,--
1221,1998.58956,,--
1221.5,1998.25709,,--
1222,1997.62802,,--
1222.5,1997.04057,,--
1223,1998.18948,,--
1223.5,1999.29732,,--
1224,1999.43088,,--
1224.5,1999.22507,,--
1225,1998.6793,,--
1225.5,1999.02518,,--
1226,2000.00916,,--
1226.5,1999.6756,,--
1227,1999.38421,,--
1227.5,1999.26283,,--
1228,1999.65266,,--
1228.5,2000.25613,,--
1229,1998.42859,,--
1229.5,2000.01382,,--
1230,2000.02059,,--
1230.5,2000.19831,,--
1231,2000.11968,,--
1231.5,1999.57031,,--
1232,1999.53403,,--
1232.5,1999.15503,,--
1233,1999.11846,,--
1233.5,1998.73877,,--
1234,1999.34557,,--
1234.5,1999.43786,,--
1235,1999.70209,,--
1235.5,1998.67708,,--
1236,1998.21001,,--
1236.5,1998.25881,,--
1237,1997.10198,,--
1237.5,1997.06402,,--
1238,1997.06912,,--
1238.5,1997.37619,,--
1239,1996.4751,,--
1239.5,1996.22075,,--
1240,1996.57107,,--
1240.5,1995.79763,,--
1241,1995.58569,,--
1241.5,1995.37351,,--
1242,1995.29102,,--
1242.5,1995.29511,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
,,,--
